id,tree_id,grove_name,survey_year,dbh_cm,prefire_status,postfire_status,measure_delay,fire_id,fire_year,fire_name,cbi,rdnbr,unit_name,source,geometry,years_since_fire,postfire_status_inv
3158,EDCR247_T,Eden Creek,2023,125.6,1,1,5,2018EDEN,2018,Eden,1,97,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112918.682398798, -178561.924565834)",5,0
3159,EDCR246_T,Eden Creek,2023,160.9,1,1,5,2018EDEN,2018,Eden,1,97,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112919.352972662, -178551.888832253)",5,0
3160,EDCR250_T,Eden Creek,2023,144.4,1,1,5,2018EDEN,2018,Eden,1,97,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112935.091726529, -178549.557151638)",5,0
3165,EDCR233_T,Eden Creek,2023,326,1,1,5,2018EDEN,2018,Eden,1,98,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112734.674096192, -178532.95095552)",5,0
3166,EDCR239_T,Eden Creek,2023,265,1,0,5,2018EDEN,2018,Eden,1,118,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112858.069721064, -178530.764288665)",5,1
3167,EDCR240_T,Eden Creek,2023,327.4,1,1,5,2018EDEN,2018,Eden,1,103,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112882.97614318, -178563.709400692)",5,0
3168,EDCR237_T,Eden Creek,2023,367,1,1,5,2018EDEN,2018,Eden,1,65,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112781.510577728, -178573.922896968)",5,0
3169,EDCR236_T,Eden Creek,2023,324.8,1,1,5,2018EDEN,2018,Eden,1,39,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112755.504315007, -178593.186066353)",5,0
3170,EDCR235_T,Eden Creek,2023,306.2,1,1,5,2018EDEN,2018,Eden,1,39,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112748.198155934, -178582.613020784)",5,0
3172,EDCR701_T,Eden Creek,2023,331.1,1,1,5,2018EDEN,2018,Eden,1,119,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112719.348230295, -178635.732150157)",5,0
3173,EDCR952_T,Eden Creek,2023,407.8,1,1,5,2018EDEN,2018,Eden,1,115,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112748.003772509, -178654.424414909)",5,0
3175,EDCR684_T,Eden Creek,2023,277.5,1,1,5,2018EDEN,2018,Eden,1,39,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112753.68641499, -178598.182312391)",5,0
3178,EDCR703_T,Eden Creek,2023,294.8,1,1,5,2018EDEN,2018,Eden,1,132,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112788.497871729, -178654.540597875)",5,0
3179,EDCR687_T,Eden Creek,2023,275,1,1,5,2018EDEN,2018,Eden,1,39,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112794.937624545, -178602.112655393)",5,0
3180,EDCR846_T,Eden Creek,2023,168,1,1,5,2018EDEN,2018,Eden,1,24,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112798.062063836, -178603.908523318)",5,0
3181,EDCR691_T,Eden Creek,2023,266.2,1,1,5,2018EDEN,2018,Eden,1,24,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112803.737574378, -178603.973930618)",5,0
3182,EDCR693_T,Eden Creek,2023,183.3,1,1,5,2018EDEN,2018,Eden,1,24,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112803.713517323, -178608.236488183)",5,0
3183,EDCR696_T,Eden Creek,2023,273.1,1,1,5,2018EDEN,2018,Eden,1,102,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112805.254844787, -178617.315975135)",5,0
3187,EDCR856_T,Eden Creek,2023,155.9,1,1,5,2018EDEN,2018,Eden,1,72,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112846.369736765, -178661.607956226)",5,0
3188,EDCR712_T,Eden Creek,2023,323,1,1,5,2018EDEN,2018,Eden,1,91,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112806.89801482, -178690.331322757)",5,0
3189,EDCR854_T,Eden Creek,2023,120,1,1,5,2018EDEN,2018,Eden,1,132,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112755.023019032, -178664.758952446)",5,0
3190,EDCR716_T,Eden Creek,2023,308,1,1,5,2018EDEN,2018,Eden,1,115,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112710.706940223, -178712.99128378)",5,0
3191,EDCR719_T,Eden Creek,2023,329.9,1,1,5,2018EDEN,2018,Eden,1,87,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112800.250823088, -178721.963803682)",5,0
3192,EDCR862_T,Eden Creek,2023,127.6,1,1,5,2018EDEN,2018,Eden,1,53,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112825.861355303, -178710.837846682)",5,0
