"","dist_year","dist_type","ha_total"
"1",1985,"undetected_change",0.422302271040171
"2",1986,"lowsev_fire",61.8369901533924
"3",1986,"modsev_fire",0.0987785363802315
"4",1986,"undetected_change",100.562666918561
"5",1987,"highsev_fire",4.91070507836575
"6",1987,"lowsev_fire",43.6185822092128
"7",1987,"modsev_fire",13.4411879515947
"8",1987,"undetected_change",52.1817387075409
"9",1988,"lowsev_fire",0.62566665629846
"10",1988,"undetected_change",10.0590875585827
"11",1991,"highsev_fire",0.179999242264684
"12",1991,"lowsev_fire",66.9629038505553
"13",1991,"modsev_fire",5.52248090144643
"14",1991,"undetected_change",138.354576381239
"15",1994,"undetected_change",0.94631583560875
"16",1995,"lowsev_fire",46.1312644476386
"17",1995,"modsev_fire",2.6444828140168
"18",1995,"undetected_change",9.33907775854747
"19",1996,"lowsev_fire",16.665352992843
"20",1996,"modsev_fire",0.530254201363268
"21",1996,"undetected_change",8.0333544063853
"22",1997,"lowsev_fire",0.270000074191066
"23",1997,"undetected_change",0.711962169898022
"24",1999,"undetected_change",0.301235137650431
"25",2002,"undetected_change",5.91544144590545
"26",2003,"lowsev_fire",58.2135450554701
"27",2003,"modsev_fire",0.261329262285493
"28",2003,"undetected_change",38.2437617977587
"29",2006,"lowsev_fire",0.290550871076147
"30",2006,"undetected_change",0.640491633945993
"31",2008,"highsev_fire",0.0729970066882903
"32",2008,"lowsev_fire",4.62507103499217
"33",2008,"modsev_fire",0.34169260210765
"34",2008,"undetected_change",15.3219292210894
"35",2009,"undetected_change",2.94199449944791
"36",2010,"lowsev_fire",3.03376805473594
"37",2010,"modsev_fire",0.0652944123212365
"38",2011,"lowsev_fire",3.59506537188847
"39",2011,"modsev_fire",0.000514816790136683
"40",2011,"undetected_change",3.60731409982161
"41",2012,"lowsev_fire",0.0308591884386065
"42",2013,"lowsev_fire",0.326412256110839
"43",2013,"undetected_change",9.89249710253484
"44",2015,"highsev_fire",131.778864441912
"45",2015,"lowsev_fire",565.569300101849
"46",2015,"modsev_fire",495.928835452053
"47",2015,"undetected_change",179.254748819384
"48",2016,"lowsev_fire",37.5710927579366
"49",2016,"modsev_fire",2.22932227842582
"50",2016,"undetected_change",42.2493114998822
"51",2017,"highsev_fire",43.5980581460566
"52",2017,"lowsev_fire",348.986072500576
"53",2017,"modsev_fire",107.01518990636
"54",2017,"undetected_change",125.353492712386
"55",2018,"highsev_fire",0.572188847741171
"56",2018,"lowsev_fire",64.2870433063831
"57",2018,"modsev_fire",4.17405377016305
"58",2018,"undetected_change",157.395896687694
"59",2020,"highsev_fire",938.915907209448
"60",2020,"lowsev_fire",1295.72835786545
"61",2020,"modsev_fire",417.436162061054
"62",2020,"undetected_change",901.665829619592
"63",2021,"highsev_fire",397.205391397044
"64",2021,"lowsev_fire",876.721184909002
"65",2021,"modsev_fire",362.85128757889
"66",2021,"undetected_change",626.77363791025
"67",2022,"lowsev_fire",1.91173975382649
"68",2022,"modsev_fire",0.349700959514321
"69",2022,"undetected_change",2.16520320229923
"70",2023,"lowsev_fire",35.643426867738
"71",2023,"modsev_fire",1.78078837596314
"72",2023,"undetected_change",38.6462846956685
"73",2024,"highsev_fire",4.91783192039418
"74",2024,"lowsev_fire",138.159268044419
"75",2024,"modsev_fire",27.5670132301794
"76",2024,"undetected_change",80.9993216386752
