"","dist_year","dist_type","dist_id","Hectares"
"1",1986,"lowsev_fire",1,67.4470058339254
"2",1986,"modsev_fire",2,2.02215932504267
"3",1987,"lowsev_fire",3,43.7660477252406
"4",1987,"modsev_fire",4,24.1640997322104
"5",1987,"highsev_fire",5,9.07470973663555
"6",1988,"lowsev_fire",6,4.57048502930198
"7",1988,"modsev_fire",7,0.00738938932586461
"8",1991,"lowsev_fire",8,140.328466104785
"9",1991,"modsev_fire",9,8.95501952507617
"10",1991,"highsev_fire",10,1.68914636857305
"11",1995,"lowsev_fire",11,29.5168373623212
"12",1995,"modsev_fire",12,1.00465890994738
"13",1995,"highsev_fire",13,0.0460928372172639
"14",1996,"lowsev_fire",14,13.1624984258734
"15",1996,"modsev_fire",15,1.1993561796488
"16",1996,"highsev_fire",16,0.00680273844413459
"17",2002,"lowsev_fire",17,0.28856309437789
"18",2003,"lowsev_fire",18,48.8909135323029
"19",2003,"modsev_fire",19,2.14215419600191
"20",2003,"highsev_fire",20,0.0367677383136004
"21",2006,"lowsev_fire",21,0.289934020553879
"22",2008,"lowsev_fire",22,3.35553826455562
"23",2008,"modsev_fire",23,0.685641880266648
"24",2008,"highsev_fire",24,0.122313794707647
"25",2009,"lowsev_fire",25,0.1441298698036
"26",2010,"lowsev_fire",26,2.71208239429542
"27",2010,"modsev_fire",27,0.234347867300536
"28",2011,"lowsev_fire",28,4.21664494847967
"29",2011,"modsev_fire",29,1.05557299903652
"30",2013,"lowsev_fire",30,6.90218350356873
"31",2013,"modsev_fire",31,0.000902535702101886
"32",2015,"lowsev_fire",32,443.642113731809
"33",2015,"modsev_fire",33,555.887117054207
"34",2015,"highsev_fire",34,183.363991124956
"35",2016,"lowsev_fire",35,34.1650942595552
"36",2016,"modsev_fire",36,4.08982302740093
"37",2016,"highsev_fire",37,0.101870932499896
"38",2017,"lowsev_fire",38,226.439891757424
"39",2017,"modsev_fire",39,271.076442138295
"40",2017,"highsev_fire",40,115.586544443434
"41",2018,"lowsev_fire",41,124.729790413571
"42",2018,"modsev_fire",42,13.9460013458909
"43",2018,"highsev_fire",43,1.41021532540291
"44",2020,"lowsev_fire",44,1420.39859921052
"45",2020,"modsev_fire",45,748.840499412365
"46",2020,"highsev_fire",46,1047.85439639688
"47",2021,"lowsev_fire",47,837.705083035268
"48",2021,"modsev_fire",48,623.312615778134
"49",2021,"highsev_fire",49,484.264200852226
"50",2022,"lowsev_fire",50,2.61490478464924
"51",2022,"modsev_fire",51,0.82444357249288
"52",2022,"highsev_fire",52,0.0307507664023899
"53",2023,"lowsev_fire",53,36.0661749465215
"54",2023,"modsev_fire",54,1.78078841154791
"55",2024,"lowsev_fire",55,130.862460736178
"56",2024,"modsev_fire",56,37.2812797084824
"57",2024,"highsev_fire",57,7.88267828223589
"58",1951,"mech_under",58,53.2999594741423
"59",1952,"mech_under",59,71.5862783316303
"60",1953,"mech_under",60,65.5144765862748
"61",1958,"mech_under",61,15.799835829825
"62",1959,"mech_under",62,6.14264048248283
"63",1960,"mech_under",63,34.8598247078247
"64",1961,"mech_under",64,63.6065344869096
"65",1962,"mech_under",65,51.8345001739824
"66",1964,"mech_under",66,39.6218025431931
"67",1965,"mech_under",67,72.0530012773901
"68",1967,"mech_under",68,69.2601374860998
"69",1969,"mech_under",69,29.804253280306
"70",1969,"rx_pile",70,69.9502936129931
"71",1970,"rx_pile",71,17.6467331267856
"72",1971,"mech_under",72,94.6396238161009
"73",1971,"rx_pile",73,19.2013999275623
"74",1972,"rx_pile",74,43.578463710504
"75",1973,"mech_under",75,13.6315922551677
"76",1974,"rx_pile",76,13.2865062578525
"77",1975,"rx_pile",77,14.6816091631718
"78",1976,"rx_pile",78,93.5964366255906
"79",1977,"rx_pile",79,167.109527444931
"80",1978,"rx_pile",80,10.7272025717607
"81",1979,"rx_pile",81,39.4460456645182
"82",1980,"rx_pile",82,11.3731296565134
"83",1981,"mech_under",83,0.350597737355903
"84",1981,"rx_pile",84,52.8837267262827
"85",1982,"rx_pile",85,52.6896536737315
"86",1983,"mech_under",86,112.604644775594
"87",1983,"rx_pile",87,10.8157754661072
"88",1984,"mech_under",88,2.97732203989268
"89",1984,"rx_pile",89,52.0946164725288
"90",1985,"mech_under",90,32.4870516358899
"91",1985,"rx_pile",91,136.506448679783
"92",1986,"mech_under",92,75.2005965893391
"93",1987,"mech_under",93,50.6890451019933
"94",1987,"rx_pile",94,18.2498606956235
"95",1988,"mech_under",95,12.3044175351816
"96",1988,"rx_pile",96,8.80408727929667
"97",1989,"mech_under",97,131.378267275412
"98",1989,"rx_pile",98,27.242210009888
"99",1990,"mech_under",99,55.3724000444391
"100",1990,"rx_pile",100,22.3183988010184
"101",1991,"mech_under",101,9.16150619383394
"102",1991,"rx_pile",102,24.0897962874278
"103",1992,"mech_under",103,55.435843173079
"104",1992,"rx_pile",104,40.0402885538919
"105",1993,"mech_under",105,41.0774927610507
"106",1993,"rx_pile",106,25.7987623969711
"107",1994,"mech_under",107,66.5645097889177
"108",1994,"rx_pile",108,1.91808019240992
"109",1995,"rx_pile",109,345.076997123674
"110",1996,"rx_pile",110,15.7293479313168
"111",1997,"mech_under",111,1.94776944113523
"112",1997,"rx_pile",112,60.1424363855051
"113",1998,"rx_pile",113,44.6899675110091
"114",1999,"rx_pile",114,100.063959566692
"115",2000,"rx_pile",115,6.3227334756773
"116",2001,"mech_under",116,92.003726891757
"117",2001,"rx_pile",117,65.8431792787284
"118",2002,"mech_under",118,201.981312383821
"119",2002,"rx_pile",119,113.77496223492
