grove_name,area_ha_moderate,area_ha_high,perc_moderate,perc_high,area_ha_total,perc_total
Deer Creek,8.127325534844026,0.895937400959037,57.37319193913791,6.324686792758287,9.023262935803062,63.697878731896196
Packsaddle,15.73760820510709,1.0343552770742286,22.24408680767091,1.4619939874818526,16.77196348218132,23.706080795152765
Starvation Creek,7.380411495655737,0.7513011081379388,72.25254864312598,7.355066840558039,8.131712603793677,79.60761548368401
Long Meadow,14.403852823247785,1.6175652303148147,16.616023872270542,1.8659939678420996,16.0214180535626,18.482017840112643
South Peyrone,2.185546212329491,0,16.69254314286062,0,2.185546212329491,16.69254314286062
Peyrone,7.1804212167833805,0,7.828335402049559,0,7.1804212167833805,7.828335402049559
Redhill,29.532340016590073,7.170946741080687,17.01053634028733,4.1304431028795445,36.70328675767076,21.140979443166877
Carr Wilson,1.0405040626983062,0.6124856462546637,19.394676399871567,11.416544475444027,1.65298970895297,30.811220875315595
Black Mountain,31.478188801409573,3.0204423255118367,5.956915168157302,0.571586847543785,34.49863112692141,6.528502015701087
Mountain Home,100.55186458553406,13.137890475547312,8.869417456092238,1.1588590186801098,113.68975506108137,10.028276474772348
Middle Tule,2.1461219403638596,0.3528641231316646,1.1035475360481775,0.18144464502130234,2.4989860634955243,1.2849921810694798
Dillonwood,32.79610494273676,9.600516767624592,7.792713154275751,2.281187764020797,42.39662171036135,10.073900918296548
Dillonwood - West,0.43913321702597435,0.011111176751960153,26.52036163559666,0.6710319653217851,0.4502443937779345,27.191393600918445
Garfield,11.324847305788944,4.647945361447969,2.269717836992599,0.9315379013413141,15.972792667236913,3.2012557383339133
South Fork,0.0199882188890656,0,0.02046572194017401,0,0.0199882188890656,0.02046572194017401
Cedar Flat,0.04560795480714915,0,0.7408220892691113,0,0.04560795480714915,0.7408220892691113
Wheel Meadow,112.80122855961396,37.47502315612024,48.36201435350679,16.06691372883828,150.2762517157342,64.42892808234507
McIntyre,30.881930055247196,6.266457021407512,27.353349015965073,5.550449265750483,37.14838707665471,32.90379828171555
Belknap Camp,7.299477360134482,2.572765150040383,18.01679929166097,6.350179752047841,9.872242510174864,24.36697904370881
Freeman Creek,136.41640635948968,183.7836902413621,23.856464319973337,32.14004213893506,320.2000966008518,55.9965064589084
Alder Creek,51.321605025910785,10.769157151361918,22.77527849333675,4.779089686243187,62.0907621772727,27.554368179579935
Burro Creek,0.028632136693242587,0,0.062370444720754044,0,0.028632136693242587,0.062370444720754044
Silver Creek,0.3185996122835133,0,1.2673251790897178,0,0.3185996122835133,1.2673251790897178
Board Camp,8.67485785089601,6.016152821129437,44.45741898438705,30.831931916374604,14.691010672025449,75.28935090076165
Homers Nose,16.274964116647073,6.849320952554194,33.83013999460256,14.23741920609592,23.124285069201267,48.06755920069848
East Fork,0.6500762941488241,0,0.21647066458893754,0,0.6500762941488241,0.21647066458893754
New Oriole Lake,1.0059207217582327,0.1097865299881472,16.85961501913964,1.8400641222025231,1.1157072517463797,18.699679141342163
Redwood Creek,0.2209161794132837,0,1.1436541348697211,0,0.2209161794132837,1.1436541348697211
Atwell,3.3032485548155637,0.16742281917579294,0.8918016000795486,0.045200334020622214,3.4706713739913564,0.9370019341001707
Squirrel Creek,0.040616255836982036,0,1.435767270241444,0,0.040616255836982036,1.435767270241444
Oriole Lake,0.13600424005933504,0,0.22863824215955883,0,0.13600424005933504,0.22863824215955883
Castle Creek,2.928413834695207,0.18117621714626864,3.308486880394088,0.2046907204050443,3.109590051841476,3.5131776007991324
Forgotten,0.020196640502929148,0,2.731300898650896,0,0.020196640502929148,2.731300898650896
Coffee Pot,0.026624941204598532,0,0.1810482503971628,0,0.026624941204598532,0.1810482503971628
Salt Creek Ridge,0.28135016193986245,0,2.4005271880420436,0,0.28135016193986245,2.4005271880420436
Monache Tubs,1.2310601043258325,0,12.070085494163884,0,1.2310601043258325,12.070085494163884
Nutmeg,0.07226313494181591,0,0.2718786516005089,0,0.07226313494181591,0.2718786516005089
Giant Forest,0.9828469308717089,0,0.1152702992522723,0,0.9828469308717089,0.1152702992522723
Suwanee,3.677500227463531,0.02216300616493481,13.169163400580839,0.07936593652787244,3.6996632336284656,13.248529337108712
Skagway,0.5443777641051262,0,2.2064095201115723,0,0.5443777641051262,2.2064095201115723
Muir,1.799314889562089,0,1.814819074358957,0,1.799314889562089,1.814819074358957
Kennedy,3.016364289569119,0.3766556011068941,4.114493787121705,0.5137798295776419,3.393019890676013,4.628273616699347
Pine Ridge,0.02595865327361812,0,0.14632609618765813,0,0.02595865327361812,0.14632609618765813
Redwood Mountain,135.80519346019295,41.89445518777924,12.825286496615284,3.9564642316891545,177.6996486479722,16.781750728304438
General Grant,4.944704183044215,0.41672307814219633,7.2968510993140265,0.6149541283538134,5.361427261186411,7.9118052276678394
Abbott,0.03295198175188233,0,1.0124716123944657,0,0.03295198175188233,1.0124716123944657
Cherry Gap,0.23889646708866558,0,0.928167020184082,0,0.23889646708866558,0.928167020184082
Deer Meadow,0.21571634838477308,0,0.8564399444447426,0,0.21571634838477308,0.8564399444447426
Agnew,0.26669466180946155,0,6.578865072895147,0,0.26669466180946155,6.578865072895147
Evans,24.62521909818167,7.992413151887556,6.34959886942865,2.060839227902715,32.61763225006923,8.410438097331365
Lockwood,5.753545546467053,0.026599131969637188,21.58673529485336,0.09979731910769493,5.78014467843669,21.686532613961052
Hoist Ridge,2.8349425372617443,0,13.984496576521918,0,2.8349425372617443,13.984496576521918
Converse Basin,18.135526335038392,2.371697403205932,2.9031071833841753,0.37965767526460703,20.507223738244324,3.2827648586487825
