times_treated,area_ha_trt,area_ha_fire
1,2152.0315622234807,6248.511950441789
2,3470.798532278848,378.5126093333246
4,754.8031325736209,0
3,1802.8956577396987,0
6,111.5868834346673,0
5,325.41130168591394,0
7,83.34089512638364,0
8,43.732379191750056,0
