"","resist_class","area_ha","perc_area","rank"
"1","Loss of mature forest",1533.48049598921,15.1374131920392,1
"2","No resistance",1212.14343072301,11.9654054987076,2
"3","Faded resistance",821.997869232154,8.11416996961299,3
"4","Low resistance",296.236186872019,2.92422992978675,4
"5","Moderate resistance",4217.161762016,41.6287786224007,5
"6","High resistance",2049.380188993,20.2300027874528,6
