id,grov_nm,ha_1,ha_2,ha_3,ha_4,ha_total
1985CONVERSE,Converse Mountain,0.4223022710402038,0,0,0,0.4223022710402038
1986CAMP_CRE,Garfield,79.27283396589245,60.61159897468792,0.09877853638024535,0,139.98321147696063
1986MUIR_GRO,Muir,21.289832952666554,1.2253911787108593,0,0,22.515224131377412
1987CASE,Case Mountain,11.009536276331538,3.7671548159992057,0,0,14.776691092330744
1987CASE,Coffee Pot,0.8656793626424959,2.716657935982835,0.7562528064866317,0.5720935355255105,4.910683640637473
1987CASE,Ladybug,0,0.7735478949806348,0.111119876136902,0.005209918083928915,0.8898776892014657
1987CASE,Monache Tubs,6.0600888910809525,0.7551756080631696,0.957342192176115,2.426637123863469,10.199243815183706
1987CASE,Nutmeg,11.17357108683396,11.20672318252437,3.644801747848298,0.5535199621899042,26.57861597939653
1987CASE,Salt Creek Ridge,0.8981084729709372,6.224428813953729,2.2337406707981673,0.9067905629601719,10.263068520683007
1987PIERCE,Redwood Mountain,22.174754617680822,18.17489395770898,5.737930658148587,0.44645397574271706,46.53403320928111
1988BUCKEYE,Giant Forest,10.059087558582533,0.6256666562983985,0,0,10.68475421488093
1991DEER_CRE,East Fork,138.35457638124623,66.96290385055545,5.5224809014465315,0.1799992422646843,211.01996037551288
1994PANTHER,Giant Forest,0.9463158356087501,0,0,0,0.9463158356087501
1995CASTLE,Castle Creek,8.772150388419476,46.131264447631,2.644482814016797,0,57.54789765006727
1995EDEN_GRO,Eden Creek,0.5669273701292674,0,0,0,0.5669273701292674
1996CASTLE_C,Castle Creek,5.51770880227546,7.876808217294706,0.18054568102362828,0,13.575062700593795
1996CASTLE_C,Redwood Meadow,2.5156456041095416,8.788544775547509,0.3497085203393304,0,11.653898899996381
1997AMPHITHE,Giant Forest,0.7119621698979288,0.27000007419099564,0,0,0.9819622440889244
1999CONIFER,New Oriole Lake,0.30123513765046167,0,0,0,0.30123513765046167
2002CIRCLE,Giant Forest,5.915441445905448,0,0,0,5.915441445905448
2003GIANT,Giant Forest,38.24376179775679,58.213545055471656,0.26132926228544384,0,96.71863611551389
2006BROWN,Mountain Home,0.43469810471525416,0.2897980850416891,0,0,0.7244961897569433
2006GOLIATH,Redwood Mountain,0.2057935292307154,7.527860344578585e-4,0,0,0.20654631526517325
2008HIDDEN,Skagway,0.9335495038125547,4.085655510432825,0.3416926021075109,0.07299700668829028,5.43389462304118
2008SOLO2,Black Mountain,14.388379717278275,0.5394155245590199,0,0,14.927795241837295
2009LOST_GRO,Lost,2.941994499447907,0,0,0,2.941994499447907
2010SHEEP,Monarch,0,3.0337680547364987,0.06529441232123355,0,3.099062467057732
2011GIANT,Long Meadow,3.6073140998217337,3.595065371888302,5.148167901366833e-4,0,7.202894288500172
2012GEORGE,Freeman Creek,0,0.0308591884386231,0,0,0.0308591884386231
2013RIM,Tuolumne,9.892497102534842,0.32641225611084046,0,0,10.218909358645682
2015ROUGH,Abbott,0,0,3.182104972525948,0.0725046172471426,3.2546095897730907
2015ROUGH,Agnew,0,0.4125139535244089,3.3448621306925896,0.29643383087810365,4.053809915095102
2015ROUGH,Boulder Creek,0.1407234697211301,8.299934891441453,1.8124503539438026,0,10.253108715106386
2015ROUGH,Cabin Creek,0.6705110628188821,32.22793556700876,23.38858752454783,4.301155331588443,60.58818948596391
2015ROUGH,Cherry Gap,1.3499708803727293,7.4277784672243845,16.401533179509133,0.5592509581681719,25.738533485274417
2015ROUGH,Converse Basin,168.85588559153106,247.12552846484158,176.96890625245257,31.74362696965319,624.6939472784784
2015ROUGH,Converse Mountain,0,0,0.7078870192445793,12.769294317428244,13.477181336672823
2015ROUGH,Converse Saddle,0,4.703021724087367,4.228177209942136,0.4368483895402053,9.368047323569709
2015ROUGH,Deer Meadow,0.03209620579222683,12.531223780298149,12.228601838004893,0.3956433056941016,25.18756512978937
2015ROUGH,Evans,2.241828865274147,155.72790418929742,181.41755558381283,48.43601146298,387.8233001013644
2015ROUGH,General Grant,3.926688987399955,16.936830269266842,17.83287870025253,7.451101905440211,46.14749986235954
2015ROUGH,Hoist Ridge,1.2921975294437784,6.505607539502995,8.28118356929637,4.193061269490265,20.272049907733408
2015ROUGH,Indian Basin,0,0.39430229437640374,0.13567576312723104,0,0.5299780575036348
2015ROUGH,Kennedy,0,39.836938734386685,27.23033478262027,6.243442180673041,73.31071569768
2015ROUGH,Little Boulder,0.7448462270312012,22.709948703101297,7.107968010806525,0,30.562762940939024
2015ROUGH,Lockwood,0,7.972309802638775,8.15736437293005,10.523484700042015,26.653158875610842
2015ROUGH,Verplank,0,2.757521720873029,3.5027641883326086,4.357005203088614,10.617291112294252
2016HIDDEN,Maggie Mountain,5.481771945281936,4.458382375204883,0.2722334909305675,0,10.212387811417386
2016HIDDEN,Middle Tule,35.29653148442778,26.558579609755988,1.5583659718941432,0,63.41347706607791
2016HIDDEN,Silver Creek,0,0.4549017947051729,0,0,0.4549017947051729
2016MEADOW,Cunningham,0,3.759037151813373,0.32679203693649034,0,4.085829188749863
2016MEADOW,Long Meadow,1.4710080701761648,2.3401918264571693,0.07193077866458335,0,3.8831306752979176
2017PIER,Alder Creek,11.16068033826368,1.790164462211707,0,0,12.950844800475387
2017PIER,Black Mountain,85.64073674132389,289.58602534879253,100.71433985176212,22.475211148774342,498.4163130906529
2017RAILROAD,Nelder,28.552075632801902,57.6098826895719,6.300850054598493,21.122846997281627,113.58565537425393
2018ALDER,Burro Creek,34.621372873110865,9.842699673683843,0.8683565040973983,0.02831202913280904,45.360741080024916
