"","resist_class","area_ha","perc_area","rank"
"1","High resistance",2111.98813234697,20.8429205946086,5
"2","Loss of mature forest",1840.92734522872,18.1678589426572,1
"3","Low resistance",254.651159258873,2.5131172900387,3
"4","Moderate resistance",4356.41327129898,42.9928438045154,4
"5","No resistance",1568.89992102235,15.4832576821432,2
