"","last_trt","resist_class","X","resist_id","lowsev_fire","rx_pile","mech_under","modsev_fire","highsev_fire","diff.1.to.2","area_ha","test.high","test.mod","test.low","resist_class_f"
"55",1979,"Moderate resistance",3922,6774,0,1,0,0,0,1979,0.00155504815355125,1,1,0,"Moderate resistance"
"56",1979,"Moderate resistance",4976,8426,0,1,0,0,0,1979,0.115898718075596,1,1,0,"Moderate resistance"
"57",1980,"High resistance",3596,6403,0,2,0,0,0,1,0.00000000000000291038304567337,2,2,0,"High resistance"
"58",1980,"High resistance",4211,7083,0,2,0,0,0,8,0.0777176429888699,2,2,0,"High resistance"
"59",1980,"Low resistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low resistance"
"60",1980,"Moderate resistance",3942,6796,0,1,0,0,0,1980,4.88163146629419,1,1,0,"Moderate resistance"
"61",1981,"High resistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High resistance"
"62",1981,"Low resistance",125,172,0,0,1,0,0,1981,0.0000000000000160071067512035,1,0,1,"Low resistance"
"63",1981,"Moderate resistance",3606,6416,0,1,0,0,0,1981,0.0000000000000112777343019843,1,1,0,"Moderate resistance"
"64",1981,"Moderate resistance",3845,6695,0,1,0,0,0,1981,0.480683379318404,1,1,0,"Moderate resistance"
"65",1982,"High resistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High resistance"
"66",1982,"Low resistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low resistance"
"67",1982,"Moderate resistance",3619,6430,0,1,0,0,0,1982,0.0000000000000664385879645124,1,1,0,"Moderate resistance"
"68",1982,"Moderate resistance",3852,6702,0,1,0,0,0,1982,9.82030935650551,1,1,0,"Moderate resistance"
"69",1982,"Moderate resistance",4506,7507,0,1,0,0,0,1982,0.000061044824156852,1,1,0,"Moderate resistance"
"70",1983,"High resistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High resistance"
"71",1983,"Low resistance",142,190,0,0,1,0,0,1983,2.44255255439914,1,0,1,"Low resistance"
"72",1983,"Low resistance",688,1091,0,0,1,0,0,1983,0,1,0,1,"Low resistance"
"73",1983,"Low resistance",1014,1630,0,0,1,0,0,1983,0.0000000000000189174897968769,1,0,1,"Low resistance"
"74",1983,"Low resistance",1109,1731,0,0,1,0,0,1983,2.13372290224597,1,0,1,"Low resistance"
