grove_name,area_ha,failure_perc
Total,1145.6728558822597,11.306411003316235
Freeman Creek,301.9833041288445,2.9802114408923828
Redwood Mountain,190.42774944169534,1.8792924966056799
Wheel Meadow,148.58942460135702,1.4663986291230289
Mountain Home,101.01504882099621,0.9968968485429606
Alder Creek,59.790066491437386,0.5900559328057174
Dillonwood,41.57375210827138,0.4102828533230151
McIntyre,33.31963925193776,0.32882470238376016
Redhill,33.049339197055374,0.32615716644710246
Evans,25.454771863514438,0.25120793532540625
Black Mountain,22.650825674023515,0.2235363640851561
Homers Nose,21.70012408411426,0.2141540846134629
Nelder,21.45386185444172,0.2117237730555211
Board Camp,15.128476388211487,0.1492998381002603
Packsaddle,13.400722331659948,0.13224898682476655
Converse Basin,12.836130528012522,0.1266771458333645
Long Meadow,12.822266312077662,0.12654032272300328
Converse Mountain,11.010813977075248,0.10866347026263652
Deer Creek,9.686296574893422,0.09559207902453297
Garfield,8.99472680858033,0.08876711850001937
Belknap Camp,8.607336005152973,0.08494403792342525
Starvation Creek,8.507651227963388,0.08396026925343131
Lockwood,6.171081140744185,0.06090113713860903
Peyrone,4.834063915480845,0.04770638770405114
Kennedy,3.622053409535228,0.03574530400533191
Verplank,3.3892027744632913,0.03344734873041259
General Grant,2.76243543640569,0.027261910111395535
Hoist Ridge,2.673790786096215,0.02638709419470669
Cabin Creek,2.3680058964158874,0.023369365683833423
Suwanee,2.273170227776267,0.022433451873963034
Castle Creek,2.1856264503827187,0.02156950024683641
Muir,2.0570126911347093,0.020300237371947277
Atwell,1.739006903152517,0.017161903316200378
Carr Wilson,1.7042937949680956,0.016819326754033852
South Peyrone,1.660297434616249,0.016385135675634845
Monache Tubs,1.5437751703212388,0.01523520129044608
Middle Tule,1.2140869948911015,0.011981576143260399
Giant Forest,0.8024385316256909,0.007919101684984
New Oriole Lake,0.6662734747132083,0.006575316598483973
Redwood Creek,0.4222125681275269,0.00416672944768281
Skagway,0.35484216128397,0.0035018646869241204
Silver Creek,0.2018768561677658,0.0019922813883308833
Agnew,0.19466009873994627,0.001921060685866629
Dillonwood - West,0.18821337251102668,0.0018574392637514185
Deer Meadow,0.1622104626572458,0.0016008218667523206
Squirrel Creek,0.14053821483291687,0.0013869428872430327
Cherry Gap,0.1352169425709988,0.0013344283400536778
Oriole Lake,0.08869995109735464,8.753616688495653e-4
Cedar Flat,0.04241128003508784,4.1854824506964083e-4
Salt Creek Ridge,0.03066977197832748,3.0267370443888623e-4
Coffee Pot,0.0306663870559074,3.0264029933209743e-4
Converse Saddle,0.00442597194397822,4.36790115353026e-5
Forgotten,0.003972720651188865,3.920596726463732e-5
Pine Ridge,0.002988557026325725,2.9493457816512843e-5
South Fork,3.078615411184728e-4,3.03822255902126e-6
