"","dist_year","dist_type","dist_id","Hectares"
"1",1986,"lowsev_fire",1,66.5260216612621
"2",1986,"modsev_fire",2,2.02291402552737
"3",1987,"lowsev_fire",3,43.6775235961775
"4",1987,"modsev_fire",4,24.0613514218501
"5",1987,"highsev_fire",5,8.93425471147338
"6",1988,"lowsev_fire",6,4.51679744794276
"7",1988,"modsev_fire",7,0.00811683148748707
"8",1991,"lowsev_fire",8,139.243542715222
"9",1991,"modsev_fire",9,9.03147091819607
"10",1991,"highsev_fire",10,1.61749371258911
"11",1995,"lowsev_fire",11,29.3146255102512
"12",1995,"modsev_fire",12,1.00260527976552
"13",1995,"highsev_fire",13,0.0443979430094329
"14",1996,"lowsev_fire",14,13.9575229637398
"15",1996,"modsev_fire",15,1.55808099868483
"16",2002,"lowsev_fire",16,0.288563549304169
"17",2003,"lowsev_fire",17,46.8200751145897
"18",2003,"modsev_fire",18,2.14553786757073
"19",2003,"highsev_fire",19,0.0367358372038676
"20",2006,"lowsev_fire",20,0.290550937485462
"21",2008,"lowsev_fire",21,3.3727106678492
"22",2008,"modsev_fire",22,0.687479604896467
"23",2008,"highsev_fire",23,0.127021723873774
"24",2009,"lowsev_fire",24,0.144129908364177
"25",2010,"lowsev_fire",25,2.71622365684733
"26",2010,"modsev_fire",26,0.229682245157408
"27",2011,"lowsev_fire",27,3.6937551760068
"28",2011,"modsev_fire",28,1.05547748227829
"29",2013,"lowsev_fire",29,6.48566340521937
"30",2015,"lowsev_fire",30,445.179598538897
"31",2015,"modsev_fire",31,554.76032279864
"32",2015,"highsev_fire",32,181.959274194276
"33",2016,"lowsev_fire",33,32.975349811047
"34",2016,"modsev_fire",34,4.6320216836507
"35",2016,"highsev_fire",35,0.0727422330529687
"36",2017,"lowsev_fire",36,227.11618515511
"37",2017,"modsev_fire",37,271.01697378071
"38",2017,"highsev_fire",38,114.669004117061
"39",2018,"lowsev_fire",39,123.804526549115
"40",2018,"modsev_fire",40,13.8296501786189
"41",2018,"highsev_fire",41,1.40581067872834
"42",2020,"lowsev_fire",42,1415.86057949976
"43",2020,"modsev_fire",43,747.059970716631
"44",2020,"highsev_fire",44,1046.2937434608
"45",2021,"lowsev_fire",45,835.51733350952
"46",2021,"modsev_fire",46,622.517551404887
"47",2021,"highsev_fire",47,482.909971466934
"48",2022,"lowsev_fire",48,2.60596660879583
"49",2022,"modsev_fire",49,0.828857157393893
"50",2022,"highsev_fire",50,0.0283560899283315
"51",2023,"lowsev_fire",51,35.8728827174247
"52",2023,"modsev_fire",52,2.26249107324149
"53",2024,"lowsev_fire",53,128.585581397239
"54",2024,"modsev_fire",54,37.6483988068538
"55",2024,"highsev_fire",55,8.1461298011545
"56",1951,"mech_under",56,53.2999592402942
"57",1952,"mech_under",57,71.5862782603057
"58",1953,"mech_under",58,65.5144758071811
"59",1958,"mech_under",59,15.799835816751
"60",1959,"mech_under",60,6.14264047975648
"61",1960,"mech_under",61,34.8598245964278
"62",1961,"mech_under",62,63.6065423911393
"63",1962,"mech_under",63,51.8344893671192
"64",1964,"mech_under",64,39.6218024830243
"65",1965,"mech_under",65,72.0530091054044
"66",1967,"mech_under",66,69.2601389914167
"67",1969,"mech_under",67,29.8042514116579
"68",1969,"rx_pile",68,69.950293412098
"69",1970,"rx_pile",69,17.64673312897
"70",1971,"mech_under",70,94.6396212824186
"71",1971,"rx_pile",71,19.201399909064
"72",1972,"rx_pile",72,43.5784637056593
"73",1973,"mech_under",73,13.631592253889
"74",1974,"rx_pile",74,13.2865063680578
"75",1975,"rx_pile",75,14.6816091570261
"76",1976,"rx_pile",76,93.5964403800871
"77",1977,"rx_pile",77,167.109527461713
"78",1978,"rx_pile",78,10.7272025680829
"79",1979,"rx_pile",79,39.4460456527683
"80",1980,"rx_pile",80,11.3731296499789
"81",1981,"mech_under",81,0.350597736535012
"82",1981,"rx_pile",82,52.8837267912318
"83",1982,"rx_pile",83,52.689653675578
"84",1983,"mech_under",84,112.604644775962
"85",1983,"rx_pile",85,10.8157754762519
"86",1984,"mech_under",86,2.97732203938441
"87",1984,"rx_pile",87,52.0946164744125
"88",1985,"mech_under",88,32.4870516370482
"89",1985,"rx_pile",89,136.506448678135
"90",1986,"mech_under",90,75.2005965966063
"91",1987,"mech_under",91,50.6890450962525
"92",1987,"rx_pile",92,18.2498607069934
"93",1988,"mech_under",93,12.3044175374832
"94",1988,"rx_pile",94,8.8040877461513
"95",1989,"mech_under",95,131.378267310651
"96",1989,"rx_pile",96,27.2422091423251
"97",1990,"mech_under",97,55.3723999211962
"98",1990,"rx_pile",98,22.3183988161708
"99",1991,"mech_under",99,9.16150572001589
"100",1991,"rx_pile",100,24.0897962819511
"101",1992,"mech_under",101,55.4358431804991
"102",1992,"rx_pile",102,40.0402885480534
"103",1993,"mech_under",103,41.0774927603907
"104",1993,"rx_pile",104,25.7987622717005
"105",1994,"mech_under",105,66.5645087744153
"106",1994,"rx_pile",106,1.91808019409294
"107",1995,"rx_pile",107,345.076997120057
"108",1996,"rx_pile",108,15.7293479274427
"109",1997,"mech_under",109,1.94776918609443
"110",1997,"rx_pile",110,60.1424364200055
"111",1998,"rx_pile",111,44.6899675167819
"112",1999,"rx_pile",112,100.063959721733
"113",2000,"rx_pile",113,6.32273349721072
"114",2001,"mech_under",114,92.0037405237704
"115",2001,"rx_pile",115,65.8431778476773
"116",2002,"mech_under",116,201.981321643305
"117",2002,"rx_pile",117,113.774962808451
"118",2003,"mech_under",118,0.000528670833698561
"119",2003,"rx_pile",119,479.733579294364
"120",2004,"mech_under",120,2.05499652990326
"121",2004,"rx_pile",121,92.3508840742162
"122",2005,"mech_under",122,2.05499652990326
"123",2005,"rx_pile",123,68.6481936674284
"124",2006,"mech_under",124,7.79874008639808
"125",2006,"rx_pile",125,74.1689445928459
"126",2007,"mech_under",126,10.8963828635742
"127",2008,"mech_under",127,3.11585345265425
"128",2008,"rx_pile",128,27.9973938872804
"129",2009,"mech_under",129,32.9330502983104
"130",2009,"rx_pile",130,166.213591150013
"131",2010,"mech_under",131,0.490477244960688
"132",2010,"rx_pile",132,20.0535957844547
"133",2011,"mech_under",133,4.79376045191108
"134",2011,"rx_pile",134,212.681071683578
"135",2012,"mech_under",135,247.828310743406
"136",2012,"rx_pile",136,305.967264730271
"137",2013,"mech_under",137,94.9597056929109
