"","resist_id","combo_fire_mech","highsev_fire","lowsev_fire","mech_under","modsev_fire","rx_pile","last_dist_yr","last_dist_type","area_ha","ever.high","diff.1.to.2"
"1112",3496,0,0,1,0,0,2,2012,"rx_pile",0.00411042653937475,"never high sev",9
"1113",3499,0,0,1,0,0,2,2022,"rx_pile",0.0013820135928996,"never high sev",10
"1114",3500,0,0,1,0,0,2,2012,"rx_pile",0.073572685527154,"never high sev",9
"1115",3503,0,0,1,0,0,2,2022,"rx_pile",0.0146132455121377,"never high sev",10
"1116",3505,0,0,1,0,0,2,2012,"rx_pile",0.0420389688034426,"never high sev",9
"1117",3508,0,0,1,0,0,2,2012,"rx_pile",0.00208950572551112,"never high sev",9
"1118",3528,0,0,1,0,1,1,2021,"modsev_fire",0.00000000000000478621586808004,"never high sev",9
"1119",3529,0,0,2,0,0,1,2021,"lowsev_fire",0.0000000000000349119426076849,"never high sev",9
"1120",3531,0,0,1,2,0,0,2021,"lowsev_fire",2.80485444940727,"never high sev",3
"1121",3534,0,0,1,0,0,2,2021,"lowsev_fire",0.00810032724298071,"never high sev",9
"1122",3536,0,0,1,0,0,2,2021,"lowsev_fire",0.0778733588769257,"never high sev",9
"1123",3537,0,0,1,0,0,2,2021,"lowsev_fire",0.00288090028319275,"never high sev",9
"1124",3540,0,0,1,0,0,2,2021,"lowsev_fire",3.02984577338108,"never high sev",9
"1125",3542,0,0,1,0,0,2,2021,"lowsev_fire",0.00173216475247973,"never high sev",9
"1126",3558,0,0,1,0,0,1,2021,"lowsev_fire",1.22768942630166,"never high sev",6
"1127",3560,0,0,1,0,0,2,2021,"lowsev_fire",1.25306009232128,"never high sev",6
"1128",3565,0,0,1,0,0,2,2021,"lowsev_fire",0.000192328970509698,"never high sev",6
"1129",3567,0,0,2,0,0,0,2023,"lowsev_fire",0.000920908799342578,"never high sev",27
"1130",3570,0,0,1,0,0,0,2023,"lowsev_fire",0.0391737751552802,"never high sev",2023
"1131",3572,0,0,1,2,0,0,2023,"mech_under",0.0302751356502005,"never high sev",2
"1132",3575,0,0,1,2,0,0,2023,"mech_under",0.259062135318687,"never high sev",2
"1133",3576,0,0,2,1,0,0,2021,"lowsev_fire",0.0000028163852815851,"never high sev",3
"1134",3577,0,0,2,1,0,0,2021,"lowsev_fire",0.0000000000000000682121026329696,"never high sev",3
"1135",3578,0,0,2,1,0,0,2021,"lowsev_fire",0.000000000000000136424205265939,"never high sev",3
"1136",3580,0,0,2,1,0,0,2021,"lowsev_fire",0.0000000000427268105340772,"never high sev",3
"1137",3592,0,0,1,1,1,0,2021,"lowsev_fire",0.000365243911631842,"never high sev",3
"1138",3593,0,0,1,2,0,0,2023,"mech_under",0.00348056175522697,"never high sev",2
"1139",3594,0,0,1,1,1,0,2021,"lowsev_fire",0.00000000000662048478261568,"never high sev",3
"1140",3606,0,0,1,1,0,1,2023,"mech_under",0.00250428650587904,"never high sev",2
"1141",3610,0,0,1,1,0,1,2021,"lowsev_fire",0.0000000180513666339976,"never high sev",3
"1142",3614,0,0,1,1,0,1,2023,"mech_under",0.00147542810449486,"never high sev",2
"1143",3621,0,0,1,1,0,1,2021,"lowsev_fire",0.00000000434360117651522,"never high sev",3
"1144",3638,0,0,1,1,0,1,2023,"mech_under",1.11812047446746,"never high sev",2
"1145",3647,0,0,2,1,0,0,2023,"mech_under",0.00107840654505653,"never high sev",2
"1146",3648,0,0,1,1,1,0,2023,"mech_under",0.0371141637576929,"never high sev",2
"1147",3659,0,0,1,1,0,1,2023,"mech_under",0.00000000000682885001879185,"never high sev",2
"1148",3668,0,0,2,0,0,0,2021,"lowsev_fire",0.144129743808159,"never high sev",12
"1149",3669,0,0,1,0,0,0,2009,"lowsev_fire",0.000000164555944502354,"never high sev",2009
"1150",3670,0,0,1,1,0,0,2022,"lowsev_fire",0.280163581942003,"never high sev",6
"1151",3671,0,0,1,2,0,0,2023,"mech_under",0.30613976534432,"never high sev",1
"1152",3672,0,0,1,0,0,1,2022,"lowsev_fire",0.0000910655104957186,"never high sev",5
"1153",3673,0,0,1,0,0,1,2022,"lowsev_fire",0.00000322741194809169,"never high sev",6
"1154",3674,0,0,1,1,0,0,2023,"mech_under",0.0376704392636084,"never high sev",1
"1155",3675,0,0,1,0,0,1,2022,"lowsev_fire",0.000137735621473985,"never high sev",27
"1156",3676,0,0,1,0,0,1,2022,"lowsev_fire",0.00000000000000278020383054256,"never high sev",43
"1157",3677,0,0,1,0,0,1,2024,"rx_pile",0.0101902914801774,"never high sev",2
"1158",3678,0,0,1,0,0,2,2023,"rx_pile",0.0201097792195799,"never high sev",1
"1159",3679,0,0,1,0,0,2,2022,"lowsev_fire",0.000128956619751261,"never high sev",5
"1160",3680,0,0,1,1,0,1,2022,"lowsev_fire",0.612275970948576,"never high sev",6
"1161",3681,0,0,1,0,0,0,2022,"lowsev_fire",1.25049780752946,"never high sev",2022
"1162",3700,0,0,1,0,0,2,2021,"lowsev_fire",0.230617409291125,"never high sev",10
"1163",3703,0,0,1,0,0,2,2021,"lowsev_fire",0.00000000000000145519152283669,"never high sev",9
"1164",3731,0,0,1,0,0,2,2022,"lowsev_fire",0.00506373701807888,"never high sev",43
"1165",3732,0,0,1,0,0,2,2022,"lowsev_fire",0.00275833215730527,"never high sev",6
"1166",3733,0,0,1,0,0,2,2022,"lowsev_fire",0.000116756687832458,"never high sev",6
"1167",3763,0,0,1,0,0,2,2022,"lowsev_fire",0.0675936069242598,"never high sev",5
"1168",3764,0,0,1,0,0,2,2022,"lowsev_fire",0.0127492380616986,"never high sev",27
"1169",3769,0,0,1,0,0,2,2021,"lowsev_fire",0.0305269855245017,"never high sev",9
"1170",3817,0,0,1,0,0,2,2022,"lowsev_fire",0.000276313894175109,"never high sev",16
"1171",3860,0,0,1,1,0,0,2015,"lowsev_fire",0.599186516893177,"never high sev",31
"1172",3866,0,0,1,0,0,1,2021,"lowsev_fire",0.356508540120931,"never high sev",45
"1173",3872,0,0,1,0,0,2,2021,"lowsev_fire",0.0422830150783062,"never high sev",10
"1174",3876,0,0,1,0,0,2,2021,"lowsev_fire",0.00164533945184667,"never high sev",45
"1175",3880,0,0,1,0,0,2,2021,"lowsev_fire",24.6861406304859,"never high sev",9
"1176",3890,0,0,1,0,1,1,2021,"modsev_fire",0.64139220819682,"never high sev",34
"1177",3891,0,0,1,0,0,2,2012,"rx_pile",0.000000041101853024772,"never high sev",25
"1178",3893,0,0,2,0,0,1,2021,"lowsev_fire",0.783675930911612,"never high sev",9
"1179",3895,0,0,2,0,0,1,2021,"lowsev_fire",0.00871329094483517,"never high sev",34
"1180",3896,0,0,1,0,1,1,2021,"modsev_fire",0.439137742343366,"never high sev",9
"1181",3899,0,0,1,0,0,2,2021,"lowsev_fire",0.00601272376154084,"never high sev",9
"1182",3900,0,0,1,0,0,2,2021,"lowsev_fire",0.0342677559434094,"never high sev",10
"1183",3925,0,0,1,0,0,2,2021,"lowsev_fire",0.282982302923919,"never high sev",9
"1184",3927,0,0,1,0,0,2,2021,"lowsev_fire",0.00162591672486268,"never high sev",45
"1185",3928,0,0,1,0,0,2,2021,"lowsev_fire",0.21119538211177,"never high sev",10
"1186",3930,0,0,1,0,0,2,2021,"lowsev_fire",0.00336733448129023,"never high sev",9
"1187",3932,0,0,1,2,0,0,2021,"lowsev_fire",0.00139108446697064,"never high sev",3
"1188",3941,0,0,1,2,0,0,2021,"lowsev_fire",0.845143944259276,"never high sev",3
"1189",3942,0,0,1,1,0,1,2021,"lowsev_fire",0.0000000000000116415321826935,"never high sev",4
"1190",3945,0,0,1,0,0,2,2021,"lowsev_fire",2.22265477884317,"never high sev",9
"1191",3947,0,0,1,0,0,2,2021,"lowsev_fire",0.00151168037569441,"never high sev",9
"1192",3948,0,0,1,0,0,2,2021,"lowsev_fire",0.812933421006005,"never high sev",9
"1193",3961,0,0,1,0,0,1,2021,"lowsev_fire",0.724297789760886,"never high sev",44
"1194",3967,0,0,1,0,0,2,2021,"lowsev_fire",24.331494456491,"never high sev",10
"1195",3969,0,0,1,0,0,2,2021,"lowsev_fire",0.780283536797638,"never high sev",5
"1196",3973,0,0,1,0,0,2,2021,"lowsev_fire",2.71105340911755,"never high sev",9
