Grove,Ownership type,Managing agency/organization,Management unit name,Approximate hectares
Packsaddle,Federal,US Forest Service,Giant Sequoia National Monument,70.7
Peyrone,Federal,US Forest Service,Giant Sequoia National Monument,91.7
Pine Ridge,Federal,National Park Service,Sequoia and Kings Canyon National Parks,17.7
Placer County Big Trees,Federal,US Forest Service,Tahoe National Forest,1.2
Powderhorn Tree,Federal,US Forest Service,Giant Sequoia National Monument,0.1
Putnam-Francis Tree,Federal,National Park Service,Sequoia and Kings Canyon National Parks,0.1
Redhill,Federal,US Forest Service,Giant Sequoia National Monument,173.2
Redwood Creek,Federal,National Park Service,Sequoia and Kings Canyon National Parks,19.4
Redwood Meadow,Federal,National Park Service,Sequoia and Kings Canyon National Parks,72.6
Redwood Mountain,Federal,US Forest Service,Giant Sequoia National Monument,93.3
,Private,Private landowners,Private,1.9
,Federal,National Park Service,Sequoia and Kings Canyon National Parks,841.9
,State,"University of California, Berkeley",Whittaker's Forest,121.8
Salt Creek Ridge,Private,Private landowners,Private,11.7
Sequoia Creek,Federal,National Park Service,Sequoia and Kings Canyon National Parks,6.4
Silver Creek,Federal,US Forest Service,Giant Sequoia National Monument,15.5
,State,California Department of Forestry and Fire Protection (CAL FIRE),Mountain Home Demonstration State Forest,9.6
Skagway,Federal,National Park Service,Sequoia and Kings Canyon National Parks,24.7
South Fork,Federal,National Park Service,Sequoia and Kings Canyon National Parks,97.7
South Peyrone,Federal,US Forest Service,Giant Sequoia National Monument,12.9
Squirrel Creek,Federal,National Park Service,Sequoia and Kings Canyon National Parks,2.8
Starvation Creek,Federal,US Forest Service,Giant Sequoia National Monument,10.2
Surprise,Federal,National Park Service,Sequoia and Kings Canyon National Parks,9.1
Suwanee,Federal,National Park Service,Sequoia and Kings Canyon National Parks,27.9
Tuolumne,Federal,National Park Service,Yosemite National Park,10.2
Upper Tule,Federal,US Forest Service,Giant Sequoia National Monument,2.8
Verplank,Federal,US Forest Service,Giant Sequoia National Monument,10.6
Wheel Meadow,Federal,US Forest Service,Giant Sequoia National Monument,233.8
Wishon,Federal,US Forest Service,Giant Sequoia National Monument,6
