resist_id,lowsev_fire,rx_pile,mech_under,modsev_fire,highsev_fire,last_trt,diff.1.to.2,area_ha,resist_class,,resst_d
117,0,0,1,0,0,2021,2021,5.47234E-09,Low resistance,,117
118,0,1,1,0,0,2023,9,1.08338E-18,High resistance,,118
119,0,1,2,0,0,2023,2,1.68751E-09,High resistance,,119
120,0,2,2,0,0,2023,1,0.090936765,High resistance,,120
122,0,1,1,0,0,2023,2,14.90402707,High resistance,,122
123,0,2,1,0,0,2023,1,6.32906E-09,High resistance,,123
124,0,1,0,0,0,2023,2023,1.10557E-08,Moderate resistance,,124
125,0,1,0,0,0,2024,2024,81.07124092,Moderate resistance,,125
126,0,0,0,1,0,2015,2015,2.154781183,Moderate resistance,,126
128,0,0,0,0,1,2015,2015,0.004026076,Loss of mature forest,,128
129,0,0,1,1,0,2018,3,1.027323789,High resistance,,129
131,0,0,1,0,1,2018,3,0.068478542,Loss of mature forest,,131
132,0,0,1,0,0,2018,2018,1.74623E-14,Low resistance,,132
133,1,0,0,0,0,2015,2015,0.412513954,Moderate resistance,,133
135,0,0,0,1,0,2015,2015,3.344862131,Moderate resistance,,135
137,0,0,0,0,1,2015,2015,0.296433831,Loss of mature forest,,137
138,1,0,0,0,0,2020,2020,0.992306681,Moderate resistance,,138
139,1,0,0,1,0,2020,2020,7.27601E-16,Moderate resistance,,139
139,1,0,0,1,0,2020,0,7.27601E-16,High resistance,,139
140,0,0,0,1,0,2020,2020,4.856494388,Moderate resistance,,140
142,0,0,0,0,1,2020,2020,19.90234359,Loss of mature forest,,142
143,1,0,0,0,0,2017,2017,0.000127768,Moderate resistance,,143
144,1,0,1,0,0,2020,18,0.026813634,Moderate resistance,,144
145,0,0,1,1,0,2022,2,0.018482287,High resistance,,145
147,0,0,1,0,1,2022,2,0.276553455,Loss of mature forest,,147
148,0,0,1,0,0,2022,2022,1.81899E-14,Low resistance,,148
149,1,0,1,0,0,2024,7,0.206205434,High resistance,,149
150,2,0,1,0,0,2024,4,0.083325234,High resistance,,150
151,1,0,1,0,1,2024,4,9.36854E-08,Loss of mature forest,,151
153,0,0,2,0,0,2024,22,0.084649193,Moderate resistance,,153
154,1,0,2,0,0,2024,4,0.121658153,High resistance,,154
155,1,0,1,0,0,2024,4,1.382552626,High resistance,,155
156,1,0,1,1,0,2024,4,1.09577E-07,High resistance,,156
157,0,0,1,1,0,2024,4,0.39926071,High resistance,,157
159,0,0,1,0,1,2024,4,4.071921732,Loss of mature forest,,159
160,0,0,1,0,0,2024,2024,1.086636075,Low resistance,,160
161,1,0,1,0,0,2017,28,1.238925647,Moderate resistance,,161
162,0,0,1,0,0,1989,1989,5.025351234,Faded resistance,,162
163,0,0,2,0,0,2024,43,5.82077E-15,Moderate resistance,,163
164,2,0,2,0,0,2024,4,0.000123351,High resistance,,164
168,1,0,2,0,0,2024,4,0.055869124,High resistance,,168
169,0,0,2,1,0,2024,4,0.009489482,High resistance,,169
171,0,0,2,0,1,2024,4,0.144278524,Loss of mature forest,,171
172,0,0,1,0,0,1981,1981,1.60071E-14,Faded resistance,,172
173,1,0,3,0,0,2024,6,0.070721532,High resistance,,173
174,1,0,2,0,0,2018,1,0.037655239,High resistance,,174
175,1,0,2,0,0,2024,6,0.056802507,High resistance,,175
176,0,0,2,0,0,2024,6,0.206266087,Low resistance,,176
177,0,0,3,0,1,2024,4,0.032460484,Loss of mature forest,,177
178,1,0,2,0,0,2024,4,0.098930844,High resistance,,178
179,1,0,1,0,0,2020,2,0.049037077,High resistance,,179
180,0,0,2,1,0,2024,4,0.164201429,High resistance,,180
182,0,0,2,0,1,2024,4,3.186895802,Loss of mature forest,,182
183,1,0,1,1,0,2020,2,5.55112E-21,High resistance,,183
183,1,0,1,1,0,2020,0,5.55112E-21,High resistance,,183
184,0,0,1,1,0,2020,2,0.057584537,High resistance,,184
186,0,0,1,0,1,2020,2,9.614650535,Loss of mature forest,,186
187,1,0,1,0,0,2018,1,0.09627775,High resistance,,187
188,1,0,2,1,0,2024,4,2.64182E-07,High resistance,,188
189,0,0,1,0,0,2018,2018,0.247031996,Low resistance,,189
190,0,0,1,0,0,1983,1983,2.442552554,Faded resistance,,190
191,0,1,1,0,0,2018,1,2.151368843,High resistance,,191
192,0,1,2,0,0,2018,1,2.078169952,High resistance,,192
193,0,2,1,0,0,2020,1,0.058892843,High resistance,,193
194,0,1,2,0,0,2022,4,4.521403658,High resistance,,194
195,0,1,3,0,0,2022,4,0.549906358,High resistance,,195
196,0,0,2,0,0,2022,39,6.54836E-14,Moderate resistance,,196
197,0,0,1,0,0,2022,2022,2.23198E-10,Low resistance,,197
198,0,1,2,0,0,2023,1,6.141891015,High resistance,,198
199,0,1,1,0,0,2023,1,3.68263E-10,High resistance,,199
200,0,2,2,0,0,2023,1,1.203E-08,High resistance,,200
201,0,2,3,0,0,2023,1,0.900535556,High resistance,,201
202,0,1,0,0,0,2023,2023,3.21819E-11,Moderate resistance,,202
203,1,0,0,0,0,2020,2020,4.052487643,Moderate resistance,,203
204,1,0,0,1,0,2020,2020,2.08457E-07,Moderate resistance,,204
204,1,0,0,1,0,2020,0,2.08457E-07,High resistance,,204
205,0,0,0,1,0,2020,2020,1.968792273,Moderate resistance,,205
206,1,0,0,0,1,2020,2020,3.47677E-07,Loss of mature forest,,206
206,1,0,0,0,1,2020,0,3.47677E-07,Loss of mature forest,,206
208,0,0,0,1,1,2020,2020,3.29236E-07,Loss of mature forest,,208
208,0,0,0,1,1,2020,0,3.29236E-07,Loss of mature forest,,208
209,0,0,0,0,1,2020,2020,3.896325052,Loss of mature forest,,209
210,0,0,1,0,0,2006,2006,2.91038E-15,Faded resistance,,210
212,0,1,1,0,1,2020,9,0,Loss of mature forest,,212
213,0,1,2,0,0,2011,2,3.63798E-16,High resistance,,213
214,1,0,1,0,0,2020,13,0.002939216,High resistance,,214
215,0,0,1,0,1,2020,13,0.061227428,Loss of mature forest,,215
219,0,1,3,0,1,2020,9,0.003460007,Loss of mature forest,,219
222,0,0,1,1,0,2020,13,0.275925134,High resistance,,222
223,0,0,1,1,1,2020,13,4.52697E-09,Loss of mature forest,,223
223,0,0,1,1,1,2020,0,4.52697E-09,Loss of mature forest,,223
224,0,0,1,0,0,2007,2007,2.76941E-14,Faded resistance,,224
225,0,1,0,0,0,2003,2003,0.049763261,Faded resistance,,225
226,1,2,0,0,0,2023,3,0.449034188,High resistance,,226
227,0,2,0,0,0,2023,20,0.290414899,Moderate resistance,,227
228,1,1,0,0,0,2023,3,6.105909482,High resistance,,228
232,0,1,0,0,1,2023,3,7.257833581,Loss of mature forest,,232
234,0,1,0,1,0,2023,3,5.070158852,High resistance,,234
235,0,1,0,0,0,2023,2023,6.163463639,Moderate resistance,,235
236,0,1,0,0,0,2024,2024,2.620590908,Moderate resistance,,236
237,0,1,0,0,0,2017,2017,1.41254E-06,Moderate resistance,,237
238,0,0,1,0,0,2021,2021,0.231998255,Low resistance,,238
239,0,1,1,0,0,2024,8,2.01995E-11,High resistance,,239
241,0,1,1,0,0,2017,1,0.162271875,High resistance,,241
242,0,0,1,0,0,2016,2016,1.01537E-10,Low resistance,,242
243,0,2,1,0,0,2017,1,0.077793839,High resistance,,243
244,0,1,2,0,0,2024,5,0.145897986,High resistance,,244
246,0,0,2,0,0,2019,3,1.485050713,Low resistance,,246
247,0,0,1,0,0,2019,2019,4.27696E-15,Low resistance,,247
249,0,2,3,0,0,2023,2,0.142864999,High resistance,,249
249,0,2,3,0,0,2023,0,0.142864999,High resistance,,249
250,0,1,2,0,0,2023,4,2.484193783,High resistance,,250
253,0,2,1,0,0,2023,2,15.47602585,High resistance,,253
253,0,2,1,0,0,2023,0,15.47602585,High resistance,,253
254,0,3,1,0,0,2023,2,0.000149278,High resistance,,254
254,0,3,1,0,0,2023,0,0.000149278,High resistance,,254
255,0,3,2,0,0,2023,2,0.930211767,High resistance,,255
255,0,3,2,0,0,2023,0,0.930211767,High resistance,,255
257,0,2,0,0,0,2023,6,1.01434E-10,High resistance,,257
258,0,2,1,0,0,2023,6,1.22292E-06,High resistance,,258
259,0,1,0,0,0,2023,2023,5.014962407,Moderate resistance,,259
260,0,1,3,0,0,2023,4,0.257822119,High resistance,,260
261,0,1,1,0,0,2023,5,1.24332E-11,High resistance,,261
262,0,1,2,0,0,2023,4,4.930757215,High resistance,,262
263,0,0,2,0,0,2019,1,0.066422882,Low resistance,,263
265,0,2,3,0,0,2023,2,3.448170464,High resistance,,265
265,0,2,3,0,0,2023,0,3.448170464,High resistance,,265
266,0,2,0,0,0,2023,1,5.09317E-15,High resistance,,266
268,0,2,2,0,0,2023,1,1.16415E-14,High resistance,,268
269,0,1,2,0,0,2022,3,0.769973164,High resistance,,269
270,0,1,1,0,0,2022,3,8.27369E-16,High resistance,,270
271,0,1,1,0,0,2022,6,2.9118E-15,High resistance,,271
