id,grove,survey_year,postfire_status,prefire_status,source,survey_fire,gps_offset_m,dbh_cm,gps_offset_deg,total_offset_m,gps_reset_radians,geometry
HONO397_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(113811.364246881, -181981.635582735)"
HONO485_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113812.536259994, -181982.937577027)"
HONO398_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,121.92,NA,NA,NA,"c(113814.137345524, -181982.198935903)"
HONO396_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113815.569257277, -181981.341345428)"
HONO395_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,91.44,NA,NA,NA,"c(113823.159710137, -181980.452908007)"
HONO401_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(113823.944486491, -181984.81733332)"
HONO400_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113825.189117405, -181983.152943187)"
HONO399_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113847.637555505, -181980.171086556)"
HONO346_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,213.36,NA,NA,NA,"c(113904.836140185, -181962.416987401)"
HONO500_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,213.36,NA,NA,NA,"c(113901.236683525, -181948.131226856)"
HONO501_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,213.36,NA,NA,NA,"c(113914.570710139, -181946.89126761)"
HONO502_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(113910.956581083, -181984.711333781)"
HONO351_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,213.36,NA,NA,NA,"c(113905.81061978, -181991.21281678)"
HONO503_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(113911.810195733, -181991.961551699)"
HONO407_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,10.16,NA,NA,NA,"c(113915.081006415, -181989.62134178)"
HONO408_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113916.177363152, -181995.483100131)"
HONO504_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113902.486745176, -182008.899307574)"
HONO352_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,243.84,NA,NA,NA,"c(113841.599215775, -182006.859090565)"
HONO370_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113922.001883451, -181839.590518393)"
HONO491_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(113916.511135614, -181842.116607517)"
HONO371_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113914.712620826, -181842.420534776)"
HONO490_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113917.915161065, -181844.048637528)"
HONO489_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,121.92,NA,NA,NA,"c(113918.502219509, -181842.772630427)"
HONO488_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,121.92,NA,NA,NA,"c(113923.480990572, -181841.897971797)"
HONO492_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(113913.832740914, -181848.129844988)"
HONO493_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(113915.720369666, -181848.340188)"
HONO497_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,121.92,NA,NA,NA,"c(113916.380740693, -181852.272620052)"
HONO496_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113918.229091258, -181851.226603419)"
HONO495_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(113917.652878908, -181849.986084619)"
HONO494_T,Homers Nose,2023,Tree Not Found,unknown,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(113918.309847627, -181848.079589694)"
HONO374_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113924.041557106, -181866.702544029)"
HONO336_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,274.32,NA,NA,NA,"c(113958.556289693, -181852.751339085)"
HONO340_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,213.36,NA,NA,NA,"c(114127.892181617, -181883.159093346)"
HONO342_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,182.88,NA,NA,NA,"c(114128.155642421, -181886.402532639)"
HONO389_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,152.4,NA,NA,NA,"c(114114.036220192, -181901.321286436)"
HONO384_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114078.076598474, -181894.230355281)"
HONO498_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,213.36,NA,NA,NA,"c(113914.331309198, -181898.020053087)"
HONO404_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(114069.0245833, -181956.710510198)"
HONO506_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114070.874789956, -181958.708710178)"
HONO406_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114072.693600151, -181960.009455414)"
