id,grove,survey_year,postfire_status,prefire_status,source,survey_fire,gps_offset_m,dbh_cm,gps_offset_deg,total_offset_m,gps_reset_radians,geometry,tree_number,death_by,pcvs,pcvc,x1999_dbh,x1999_height,x1999_comments,area,perimeter,giant,giant_id,dbh,ht,crowncls,htcb,damdis,folqual,nests,wdpkr,comments,scardbh,scargrnd,scarht,htbranch,toplcrn,leanaz,disth2o,plot,az,dist,gps,distance,az_road,near_fid,near_dist,near_x,near_y,status
Middle Tule34,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,297.61904761904765,0,16.488095238095237,-0,"c(120053.00777931, -194262.31135229)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule35,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,267.6979882862236,0,16.338489941431117,-0,"c(120053.012457038, -194262.461118029)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule36,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,124.77718360071302,0,15.623885918003564,-0,"c(120041.895893654, -194226.449566147)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule37,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,101.22230710466005,0,15.506111535523301,-0,"c(120039.903171972, -194226.630018813)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule38,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,392.79348102877515,0,16.963967405143876,-0,"c(120055.109674249, -194201.645513617)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule41,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,210.0840336134454,0,16.050420168067227,-0,"c(119902.055314185, -194003.93991425)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule42,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,211.67557932263813,0,16.05837789661319,-0,"c(119922.519367919, -194019.323580291)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule43,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,203.7178507766743,0,16.01858925388337,-0,"c(119880.223319441, -194040.729748702)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule44,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,220.58823529411765,0,16.102941176470587,-0,"c(119919.244325156, -194042.428745499)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule45,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,334.2245989304813,0,16.671122994652407,-0,"c(119921.535637234, -194051.808127289)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
