"","resist_class","area_ha.10yrs","area_ha.15yrs","perc_area.10yrs","perc_area.15yrs","rank"
"1","Loss of mature forest",1031.16306256179,1031.16306256179,10.1788978648191,10.1788978648191,1
"2","No resistance",4669.53463900135,4242.67767035652,46.0942773188033,41.8806532621701,2
"3","Low resistance",493.480727757498,738.55658477784,4.87128574371252,7.29049780465035,3
"4","Moderate resistance",3186.26860173241,3304.90172794098,31.4525450381624,32.6236056772637,4
"5","High resistance",749.952902772348,813.100888188265,7.40299403450259,8.02634539109677,5
