TreeNumber,YrsPostFire,Fire,GroveBasic,Grove_Name,Catface.ht.m,Catface.width.m,Aspect,DBH_cm,Height_m,HLC_m,CrnLength,CrnPercentOf,Scorch_.,Torch_.,Final_LiveDead,Green20,Yellow20,Brown20,MaxCharHt_m,Catface,LD,InSummaryStats,ForModelling,TPI4_10cel,TPI4_5cell,TPI6_5cell,GIS_Aspect_KS,GIS_Elev_KS,GIS_SlopeP_KS,GIS_CBI4_KS,PercentBasalChar5cm,Notes,CircCatface,Cat1_area,EpiPres,EpiPercents,Ht_Scorch,Ht_Torch,ScorchTorchTotal,LiveStatus2018,LiveStatus2019,LiveStatus2020,AvgCharHt_m,CircCharred_.,AvgCharDepth_cm,Prefire_TreeVigor,VigorCode,Chimney,Broken.Top,Fire.Severity,InterCrnsCnt,InflCrnsCnt,FrstStructreTree,AllTrees,Con,Hrdwd,UNKNOWN,PreDead,PreLive,Con.PreDead,Con.PreLive,Hrdwd.PreDead,Hrdwd.PreLive,UNKNOWN.PreDead,ABCO,CADE,CONU,PILA,PIPO,QUKE,SEGI,ALRH,PINUS.all,CADE.SEGI.Total,AvgHeight,SDht,SEht,ConAvgHeight,ConSDht,ConSEht,PercPreDead,Avg_Ht_diff,ConAvg_Ht_diff,YearDead,SurrScorchAvg,SurrTorchAvg,UNKNOWN.PreLive,QUCH,QUWI,TOCA,Avg_HtLive_diff,ConAvg_HtLive_diff,EnoughVisits,Basal_Char_Circumference_m.Percent,LMU,PatchType,PatchRank,AET,CWD
BM236,3,Pier,Black Mountain,Black Mountain,0,0,20,167.1,58.1,22,36.1,0.621342513,75,0,Live,25,0,0,58.1,No,0,Yes,Yes,4,3,6,29.09049988,1853.579956,38.80350113,4,5,NA,0,0,Yes,10,58.1,0,75,Live,Live,Live,52,100,1,1 - Healthy/Full,1,No,No,Very High - Scorch (>90% mort),2,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,10,90,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,369.6300049,716.7869873
BM237,3,Pier,Black Mountain,Black Mountain,0,0,20,176.3,58.4,18,40.4,0.691780822,90,0,Live,9,0,1,58.4,No,0,Yes,Yes,4,3,6,29.09049988,1853.579956,38.80350113,4,1,NA,0,0,Yes,1,58.4,0,90,Live,Live,Live,54,100,0.5,1 - Healthy/Full,1,No,No,Very High - Scorch (>90% mort),2,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,10,90,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,369.6300049,716.7869873
BM239,3,Pier,Black Mountain,Black Mountain,4.9,3.62,28,395.3,77.1,22.1,55,0.713359274,40,0,Live,60,0,5,25.4,Yes,0,Yes,Yes,1,3,1,51.82440186,1795.530029,19.2859993,2,85,NA,20,17.738,Yes,5,38.5,0,40,Live,Live,Live,12.7,100,8,1 - Healthy/Full,1,No,No,Low (<25% mort),0,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,80,0,NA,NA,NA,NA,NA,NA,NA,NA,Midslope NE <30% slope,Intermediate,2,375.6570129,732.8200073
BM240,3,Pier,Black Mountain,Black Mountain,0,0,306,170,58,11.3,46.7,0.805172414,25,75,Dead,0,0,0,58,No,1,Yes,Yes,3,3,5,325.9660034,1795.689941,24.24559975,3,95,NA,0,0,No,0,58,58,100,Dead,Dead,Dead,56,100,8,1 - Healthy/Full,1,No,No,Very High - Scorch (>90% mort),3,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,35,65,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,371.9630127,723.0770264
BM241,3,Pier,Black Mountain,Black Mountain,0.1,2.7,159,275.9,65.2,16.1,49.1,0.753067485,2,0,Live,98,0,0,11.3,Yes,0,Yes,Yes,4,4,6,139.5870056,1831.189941,20.85169983,3,NA,NA,5,0.27,No,0,24.6,0,2,Live,Live,Live,5.7,100,0.1,Healthy-full,1,No,No,Moderate,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,60,0,NA,NA,NA,NA,NA,NA,NA,NA,Canyon/Drainage Bottom,Intermediate,2,375.2000122,724.0200195
BM242,3,Pier,Black Mountain,Black Mountain,0,0,145,152,61.8,35.5,26.3,0.425566343,2,0,Live,98,0,0,27.9,No,0,Yes,Yes,4,4,6,138.0379944,1830.890015,20.43029976,3,NA,NA,0,0,No,0,39.2,0,2,Live,Live,Live,16.5,100,3,Healthy full,1,No,No,Moderate,3,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,90,10,NA,NA,NA,NA,NA,NA,NA,NA,Canyon/Drainage Bottom,Intermediate,2,375.2000122,724.0200195
BM243,3,Pier,Black Mountain,Black Mountain,0,0,125,257.6,73.8,26.2,47.6,0.64498645,5,0,Live,95,0,0,32.2,No,0,Yes,Yes,4,3,6,113.3960037,1828.910034,18.36050034,3,NA,NA,0,0,Yes,NA,33,0,5,Live,Live,Live,16.3,100,3,Healthy full,1,No,No,Moderate,3,2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,90,0,NA,NA,NA,NA,NA,NA,NA,NA,Canyon/Drainage Bottom,Intermediate,2,375.2000122,724.0200195
BM244,3,Pier,Black Mountain,Black Mountain,0,0,125,207.7,61.7,24.1,37.6,0.609400324,60,0,Live,40,0,0,20,No,0,Yes,Yes,3,3,4,115.1210022,1826.189941,18.12339973,3,NA,NA,0,0,No,0,53.9,0,60,Live,Live,Live,13.7,100,2,Full healthy,1,No,No,Moderate,2,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,90,0,NA,NA,NA,NA,NA,NA,NA,NA,Canyon/Drainage Bottom,Intermediate,2,375.2000122,724.0200195
BM245,3,Pier,Black Mountain,Black Mountain,0,0,125,211.3,76.9,55.4,21.5,0.279583875,70,0,Live,30,0,0,31.3,No,0,Yes,Yes,3,3,4,113.2969971,1828.640015,17.71969986,3,NA,NA,0,0,No,0,59.3,0,70,Live,Live,Live,23.4,100,12,Full healthy,1,No,No,Moderate,3,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,95,0,NA,NA,NA,NA,NA,NA,NA,NA,Canyon/Drainage Bottom,Intermediate,2,375.2000122,724.0200195
BM246,3,Pier,Black Mountain,Black Mountain,0,0,125,200.1,72.3,58.7,13.6,0.188105118,85,0,Live,15,0,0,38.6,No,0,Yes,Yes,3,3,4,114.9449997,1826.959961,17.54240036,3,NA,NA,0,0,No,0,63.3,0,85,Live,Live,Live,29.3,100,2,Full healthy,1,No,No,Moderate,3,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,95,0,NA,NA,NA,NA,NA,NA,NA,NA,Canyon/Drainage Bottom,Intermediate,2,375.2000122,724.0200195
