TreeNumber,YrsPostFire,Fire,GroveBasic,Grove_Name,Catface.ht.m,Catface.width.m,Aspect,DBH_cm,Height_m,HLC_m,CrnLength,CrnPercentOf,Scorch_.,Torch_.,Final_LiveDead,Green20,Yellow20,Brown20,MaxCharHt_m,Catface,LD,InSummaryStats,ForModelling,TPI4_10cel,TPI4_5cell,TPI6_5cell,GIS_Aspect_KS,GIS_Elev_KS,GIS_SlopeP_KS,GIS_CBI4_KS,PercentBasalChar5cm,Notes,CircCatface,Cat1_area,EpiPres,EpiPercents,Ht_Scorch,Ht_Torch,ScorchTorchTotal,LiveStatus2018,LiveStatus2019,LiveStatus2020,AvgCharHt_m,CircCharred_.,AvgCharDepth_cm,Prefire_TreeVigor,VigorCode,Chimney,Broken.Top,Fire.Severity,InterCrnsCnt,InflCrnsCnt,FrstStructreTree,AllTrees,Con,Hrdwd,UNKNOWN,PreDead,PreLive,Con.PreDead,Con.PreLive,Hrdwd.PreDead,Hrdwd.PreLive,UNKNOWN.PreDead,ABCO,CADE,CONU,PILA,PIPO,QUKE,SEGI,ALRH,PINUS.all,CADE.SEGI.Total,AvgHeight,SDht,SEht,ConAvgHeight,ConSDht,ConSEht,PercPreDead,Avg_Ht_diff,ConAvg_Ht_diff,YearDead,SurrScorchAvg,SurrTorchAvg,UNKNOWN.PreLive,QUCH,QUWI,TOCA,Avg_HtLive_diff,ConAvg_HtLive_diff,EnoughVisits,Basal_Char_Circumference_m.Percent,LMU,PatchType,PatchRank,AET,CWD
BM014,3,Pier,Black Mountain,Black Mountain,1.1,0.83,110,331,61,22.8,38.2,0.626229508,1,0,Live,99,0,0,10.3,Yes,0,Yes,Yes,4,4,6,123.0459976,1917.859985,14.8671999,3,2,NA,25,0.913,Yes,1,22.8,0,1,Live,Live,Live,5.7,95,0.5,1 - Healthy/Full,1,No,No,Moderate (<75% mort),NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midslope NE >30% slope,Intermediate,2,375.2000122,734.6370239
BM015,3,Pier,Black Mountain,Black Mountain,0.65,0.41,130,267.7,51,24.2,26.8,0.525490196,0,10,Live,90,0,0,22.2,Yes,0,Yes,Yes,4,3,6,170.7850037,1946.910034,19.07029915,4,10,NA,2,0.2665,Yes,8,46.8,0,10,Live,Live,Live,15.7,100,1,2 - Mild Crown Damage,2,No,No,Very High - Scorch (>90% mort),NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,375.7030029,729.6270142
BM016,3,Pier,Black Mountain,Black Mountain,0,0,50,339.6,59.8,16.1,43.7,0.730769231,10,0,Live,90,0,0,17.9,No,0,Yes,Yes,3,3,4,100.8249969,1973.51001,18.64080048,3,1,NA,0,0,Yes,5,48.8,0,10,Live,Live,Live,12.5,100,1,1 - Healthy/Full,1,No,No,Moderate (<75% mort),NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,380.75,717.0969849
BM017,3,Pier,Black Mountain,Black Mountain,8.5,4.09,269,429.7,56.8,8.5,48.3,0.850352113,2,98,Dead,0,0,0,56.8,Yes,1,Yes,Yes,4,3,6,279.3160095,1970.47998,56.90230179,4,10,NA,40,34.765,No,0,10.8,56.8,100,Dead,Dead,Dead,56.8,100,3,4 - Unable to tell,4,No,Yes,Very High - Torch (>90% mort),NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,380.75,717.0969849
BM018,3,Pier,Black Mountain,Black Mountain,0,0,280,239.4,60.9,22.9,38,0.623973727,80,20,Dead,0,0,0,60.9,No,1,Yes,Yes,1,1,1,311.25,1840.599976,23.51609993,4,10,NA,0,0,No,0,60.9,60.9,100,Dead,Dead,Dead,60.9,100,1,2 - Mild Crown Damage,2,No,No,Very High - Torch (>90% mort),2,0,Yes,71,61,9,1,19,52,16,45,2,7,1,52,0,2,0,1,7,8,0,1,8,9.9,9.5,1.7,11,10.4,2.1,0.27,51,49.9,2018,51.25,48.75,0,0,0,0,13,11.9,NA,NA,Ridge,Dry,1,371.9570007,729.4699707
BM019,3,Pier,Black Mountain,Black Mountain,0.95,1.2,280,170.3,31.1,17.4,13.7,0.440514469,90,10,Dead,0,0,0,31.1,Yes,1,Yes,Yes,1,1,1,300.5480042,1842.969971,33.13359833,4,1,NA,10,1.14,No,0,31.1,31.1,100,Dead,Dead,Dead,31.1,100,0.5,1 - Healthy/Full,1,No,Yes,Very High - Torch (>90% mort),1,0,Yes,62,50,11,1,20,42,17,33,2,9,1,45,2,1,0,0,10,3,0,0,5,10.1,11.7,2.1,11.5,13.2,2.8,0.32,21,19.6,2018,51.25,48.75,0,0,0,0,7.3,5.9,NA,NA,Ridge,Dry,1,371.9570007,729.4699707
BM020,3,Pier,Black Mountain,Black Mountain,NA,NA,320,262,55.9,20.3,35.6,0.636851521,30,10,Live,60,0,0,55,Yes,0,Yes,Yes,1,1,1,354.1579895,1846.150024,45.77840042,4,1,NA,NA,NA,No,0,55.9,0,40,Live,Live,Live,54,100,1,2 - Mild Crown Damage,2,No,Yes,Very High - Torch (>90% mort),1,0,Yes,49,49,0,0,20,29,20,29,0,0,0,45,1,0,1,0,0,2,0,1,3,11.5,7.5,1.8,11.5,7.5,1.8,0.41,44.4,44.4,Live,78.75,21.25,0,0,0,0,8.8,8.8,NA,NA,Ridge,Dry,1,371.9570007,729.4699707
BM020a,3,Pier,Black Mountain,Black Mountain,NA,NA,320,262,27,10,17,0.62962963,90,10,Dead,0,0,0,25,Yes,1,Yes,Yes,1,1,1,354.1579895,1846.150024,45.77840042,4,1,NA,NA,NA,No,0,27,25,100,Dead,Dead,Dead,25,100,1,2 - Mild Crown Damage,2,No,Yes,Very High - Torch (>90% mort),1,0,Yes,49,49,0,0,20,29,20,29,0,0,0,45,1,0,1,0,0,2,0,1,3,11.5,7.5,1.8,11.5,7.5,1.8,0.41,15.5,15.5,2018,78.75,21.25,0,0,0,0,-1.5,-1.5,NA,NA,Ridge,Dry,1,371.9570007,729.4699707
BM021,3,Pier,Black Mountain,Black Mountain,6.2,5.4,290,388.3,56.5,25.9,30.6,0.54159292,60,40,Dead,0,0,0,56.5,Yes,1,Yes,Yes,1,1,1,320.2279968,1863.52002,30.28919983,4,10,NA,30,33.48,No,0,56,56.5,100,Dead,Dead,Dead,56.5,100,3,2 - Mild Crown Damage,2,No,Yes,Very High - Torch (>90% mort),NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,370.4169922,722.3369751
BM022,3,Pier,Black Mountain,Black Mountain,2.8,1.7,330,232,59.5,30.4,29.1,0.48907563,80,20,Dead,0,0,0,59.5,Yes,1,Yes,Yes,1,1,1,348.2399902,1863.280029,47.11579895,4,5,NA,20,4.76,No,0,59.5,29.9,100,Dead,Dead,Dead,59.5,100,4,3 - High Crown Damage,3,No,No,Very High - Torch (>90% mort),0,0,Yes,61,56,5,0,27,34,27,29,0,5,0,31,2,0,0,0,5,23,0,0,25,11.2,8.2,1.4,11.1,8.4,1.5,0.44,48.3,48.4,2018,25,75,0,0,0,0,19.2,19.3,NA,NA,Ridge,Dry,1,370.4169922,722.3369751
BM023,3,Pier,Black Mountain,Black Mountain,1.1,1.2,280,128.9,40.5,18.6,21.9,0.540740741,15,85,Dead,0,0,0,40.5,Yes,1,Yes,Yes,1,1,1,300.5480042,1842.969971,33.13359833,4,1,NA,25,1.32,No,0,26.1,40.5,100,Dead,Dead,Dead,40.5,100,0.5,1 - Healthy/Full,1,No,Yes,Very High - Torch (>90% mort),0,0,Yes,59,47,11,1,19,40,16,31,2,9,1,42,2,1,0,0,10,3,0,0,5,10.1,11.7,2.1,11.5,13.2,2.8,0.32,30.4,29,2018,51.25,48.75,0,0,0,0,8.5,7.1,NA,NA,Ridge,Dry,1,371.9570007,729.4699707
BM024,3,Pier,Black Mountain,Black Mountain,3.4,3.4,330,372.1,58.5,22.5,36,0.615384615,95,5,Dead,0,0,0,58.5,Yes,1,Yes,Yes,4,4,6,329.3359985,1866.439941,35.74710083,4,5,NA,5,11.56,No,0,58.5,28.5,100,Dead,Dead,Dead,58.5,100,4,3 - High Crown Damage,3,No,Yes,Very High - Torch (>90% mort),0,0,Yes,103,101,2,0,47,56,46,55,1,1,0,92,2,2,0,1,0,6,0,1,8,9,9,1.7,8.9,9.1,1.7,0.46,49.5,49.6,2018,85,15,0,0,0,0,13.5,13.6,NA,NA,Ridge,Dry,1,371.9570007,729.4699707
BM025,3,Pier,Black Mountain,Black Mountain,0,0,270,261,60,9.6,50.4,0.84,15,8,Live,62,5,10,48.7,No,0,Yes,Yes,4,4,6,258.9700012,1894.48999,22.92040062,3,60,NA,0,0,Yes,15,47.7,52,23,Live,Live,Live,26.8,100,4,1 - Healthy/Full,1,No,No,Very High - Scorch (>90% mort),0,0,Yes,116,114,2,0,26,90,26,88,0,2,0,57,51,0,3,1,1,2,0,4,53,7.7,6.3,1,7.4,5.9,1,0.22,52.3,52.6,Live,30,47.5,0,0,0,0,1.9,2.2,NA,NA,Ridge,Dry,1,375.1900024,724.039978
BM027,3,Pier,Black Mountain,Black Mountain,0,0,80,198.9,51.2,16.4,34.8,0.6796875,5,0,Live,95,0,0,18.4,No,0,Yes,Yes,4,4,6,150.0140076,1899,45.69710159,4,3,NA,0,0,No,0,35,0,5,Live,Live,Live,16,NA,0.7,1 - Healthy/Full,1,No,No,Very High - Torch (>90% mort),2,0,Yes,46,41,3,2,1,45,0,41,0,3,1,18,12,0,2,4,3,5,0,6,17,7.8,6.8,1.3,8.5,7.1,1.5,0.02,43.4,42.7,Live,67.5,32.5,1,0,0,0,8.6,7.9,NA,NA,Ridge,Dry,1,375.1900024,724.039978
BM027a,3,Pier,Black Mountain,Black Mountain,0,0,80,198.9,51.2,14.2,37,0.72265625,2,0,Live,98,0,0,18.4,No,0,Yes,Yes,4,3,6,144.0720062,1892.130005,45.03490067,4,3,NA,0,0,Yes,1,48.3,0,2,Live,Live,Live,11.2,NA,0.7,1 - Healthy/Full,1,No,No,Very High - Torch (>90% mort),2,0,Yes,46,41,3,2,1,45,0,41,0,3,1,18,12,0,2,4,3,5,0,6,17,7.8,6.8,1.3,8.5,7.1,1.5,0.02,43.4,42.7,Live,67.5,32.5,1,0,0,0,8.6,7.9,NA,NA,Ridge,Dry,1,375.1900024,724.039978
BM028,3,Pier,Black Mountain,Black Mountain,3,0.63,60,168.4,58.4,18.8,39.6,0.678082192,13,85,Dead,0,0,2,58.4,Yes,1,Yes,Yes,1,1,1,141.8309937,1886.099976,41.72800064,4,3,NA,20,1.89,No,0,44.6,58.4,98,Live,Dead,Dead,58.4,100,1,4 - Unable to tell,4,No,No,Very High - Torch (>90% mort),2,0,Yes,102,90,2,10,8,94,4,86,0,2,4,60,15,0,0,2,2,13,0,2,28,6.1,4.1,0.7,6.3,4.2,0.8,0.08,52.3,52.1,2019,33.75,66.25,6,0,0,0,12.7,12.5,NA,NA,Ridge,Dry,1,375.1900024,724.039978
BM029,3,Pier,Black Mountain,Black Mountain,0,0,60,177,58.5,17.3,41.2,0.704273504,10,85,Dead,0,0,0,58.5,No,1,Yes,Yes,1,1,1,141.8309937,1886.099976,41.72800064,4,60,NA,0,0,No,0,44,58.5,95,Live,Live,Dead,58.5,100,4,2 - Mild Crown Damage,2,No,No,Very High - Torch (>90% mort),2,0,Yes,102,90,2,10,8,94,4,86,0,2,4,60,15,0,0,2,2,13,0,2,28,6.1,4.1,0.7,6.3,4.2,0.8,0.08,52.4,52.2,2020,33.75,66.25,6,0,0,0,11.2,11,NA,NA,Ridge,Dry,1,375.1900024,724.039978
BM030,3,Pier,Black Mountain,Black Mountain,4.6,0.89,60,185.6,57.8,22.8,35,0.605536332,25,70,Dead,0,0,5,44,Yes,1,Yes,Yes,1,1,1,138.7359924,1882.73999,39.68109894,4,2,NA,20,4.094,No,0,57.8,56,95,Live,Live,Dead,44,100,1,1 - Healthy/Full,1,No,No,Very High - Torch (>90% mort),2,0,Yes,121,105,3,13,12,109,4,101,0,3,8,67,24,0,0,2,3,12,0,2,36,6.3,4.4,0.8,6.8,4.5,0.9,0.1,51.5,51,2020,33.75,66.25,5,0,0,0,16.5,16,NA,NA,Ridge,Dry,1,375.1900024,724.039978
BM031,3,Pier,Black Mountain,Black Mountain,2.9,4.25,80,381,66,6.8,59.2,0.896969697,30,0,Live,70,0,5,29.4,Yes,0,Yes,Yes,1,3,1,151.0910034,1859.589966,30.09449959,3,10,NA,45,12.325,Yes,10,66,0,30,Live,Live,Live,18.5,100,2,1 - Healthy/Full,1,No,No,Moderate (<75% mort),0,0,Yes,101,47,54,0,24,77,13,34,11,43,0,15,3,0,3,8,47,18,0,11,21,6.1,5.2,0.8,6.8,5.9,1.1,0.24,59.9,59.2,Live,73.75,22.5,0,0,1,0,0.7,0,NA,NA,Ridge,Dry,1,375.2000122,724.0200195
BM032,3,Pier,Black Mountain,Black Mountain,0,0,120,205,64.9,26,38.9,0.599383667,60,0,Live,40,0,0,27.5,No,0,Yes,Yes,1,3,1,136.5549927,1845.75,29.48789978,3,5,NA,0,0,Yes,15,64,0,60,Live,Live,Live,15.8,100,3,1 - Healthy/Full,1,No,No,High (>75% mort),0,0,Yes,40,40,0,0,0,40,0,40,0,0,0,3,1,0,0,4,0,32,0,4,33,10.7,6.3,1.5,10.7,6.3,1.5,0,54.2,54.2,Live,32.5,40,0,0,0,0,15.3,15.3,NA,NA,Midslope NE >30% slope,Intermediate,2,375.2000122,724.0200195
BM033,3,Pier,Black Mountain,Black Mountain,4.2,0.13,90,388.3,79.2,19.3,59.9,0.756313131,45,0,Live,55,0,1,25.9,Yes,0,Yes,Yes,1,1,1,132.2050018,1836.650024,31.85429955,3,60,NA,2,0.546,Yes,25,78,0,45,Live,Live,Live,15,100,3,1 - Healthy/Full,1,No,No,High (>75% mort),0,0,Yes,110,90,20,0,2,108,2,88,0,20,0,42,18,11,0,10,0,20,0,10,38,7.8,6.6,1.1,8.1,6.9,1.2,0.02,71.4,71.1,Live,27.5,60,0,0,0,0,11.5,11.2,NA,NA,Midslope NE >30% slope,Intermediate,2,375.2000122,724.0200195
BM034,3,Pier,Black Mountain,Black Mountain,0,0,130,168.4,61.2,18,43.2,0.705882353,20,0,Live,79,0,1,28.2,No,0,Yes,Yes,3,3,4,148.3410034,1854.050049,30.10110092,3,5,NA,0,0,Yes,5,47.9,0,20,Live,Live,Live,20,100,2,1 - Healthy/Full,1,No,No,High (>75% mort),2,0,Yes,149,102,47,0,4,145,4,98,0,47,0,64,10,0,8,2,40,18,0,10,28,6.6,4.9,0.7,6.9,5.3,0.9,0.03,54.6,54.3,Live,53.75,46.25,0,0,7,0,11.4,11.1,NA,NA,Ridge,Dry,1,375.2000122,724.0200195
BM035,3,Pier,Black Mountain,Black Mountain,0,0,130,174.8,60,9.8,50.2,0.836666667,5,0,Live,95,0,0,18,No,0,Yes,Yes,3,3,4,148.3410034,1854.050049,30.10110092,3,5,NA,0,0,Yes,10,47.9,0,5,Live,Live,Live,12,100,2,1 - Healthy/Full,1,No,No,High (>75% mort),2,0,Yes,135,99,36,0,4,131,4,95,0,36,0,69,10,0,8,1,29,11,0,9,21,6.6,5.1,0.8,6.9,5.5,1,0.03,53.4,53.1,Live,53.75,46.25,0,0,7,0,3.2,2.9,NA,NA,Ridge,Dry,1,375.2000122,724.0200195
BM036,3,Pier,Black Mountain,Black Mountain,0,0,100,203.4,58.7,16,42.7,0.727427598,15,0,Live,85,0,0,18,No,0,Yes,Yes,3,3,4,144.3220062,1852.27002,30.3076992,3,20,NA,0,0,Yes,15,48,0,15,Live,Live,Live,16,100,4,1 - Healthy/Full,1,No,No,Moderate (<75% mort),0,3,Yes,74,52,22,0,5,69,5,47,0,22,0,44,2,0,5,1,20,0,0,6,2,7.7,6.1,1.2,8,6.7,1.6,0.07,51,50.7,Live,57.5,40,0,0,0,0,8.3,8,NA,NA,Ridge,Dry,1,375.2000122,724.0200195
BM037,3,Pier,Black Mountain,Black Mountain,0,0,110,222.8,59.5,14.9,44.6,0.749579832,2,0,Live,98,0,0,11.2,No,0,Yes,Yes,3,3,4,139.5579987,1854.550049,28.55310059,3,15,NA,0,0,No,0,48,0,2,Live,Live,Live,9,100,3,1 - Healthy/Full,1,No,No,High (>75% mort),1,2,Yes,97,89,8,0,11,86,11,78,0,8,0,60,21,0,8,0,2,0,0,8,21,7,5.8,1.1,7.6,5.9,1.2,0.11,52.5,51.9,Live,51.25,45,0,0,0,0,7.9,7.3,NA,NA,Ridge,Dry,1,375.2000122,724.0200195
BM038,3,Pier,Black Mountain,Black Mountain,0,0,150,210.4,66,10.2,55.8,0.845454545,10,0,Live,90,0,0,28,No,0,Yes,Yes,1,3,1,152.8249969,1841.089966,23.38439941,3,40,NA,0,0,Yes,10,38,0,10,Live,Live,Live,12,100,4,1 - Healthy/Full,1,No,No,High (>75% mort),2,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,56.25,18.75,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,375.2000122,724.0200195
BM040,3,Pier,Black Mountain,Black Mountain,6.9,5.35,120,329.8,62.5,26.6,35.9,0.5744,5,0,Live,95,0,0,44.6,Yes,0,Yes,Yes,3,3,4,133.6199951,1852.209961,30.70730019,3,30,NA,80,36.915,No,0,49.2,0,5,Live,Live,Live,26.6,100,3,1 - Healthy/Full,1,No,Yes,Very High - Scorch (>90% mort),1,0,Yes,87,76,11,0,4,83,4,72,0,11,0,50,12,2,0,12,2,2,0,12,14,6,4,0.8,6.6,4.3,1,0.05,56.5,55.9,Live,37.5,55,0,0,0,0,20.6,20,NA,NA,Ridge,Dry,1,375.2000122,724.0200195
BM041,3,Pier,Black Mountain,Black Mountain,3.7,2.07,140,253.7,57.1,23,34.1,0.597197898,25,0,Live,75,0,0,39.3,Yes,0,Yes,Yes,3,3,5,132.220993,1856.76001,31.11149979,4,60,NA,20,7.659,Yes,5,56.7,0,25,Live,Live,Live,24.8,100,4,1 - Healthy/Full,1,Yes,No,Very High - Torch (>90% mort),2,3,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,5.5,92,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,375.2000122,724.0200195
BM042,3,Pier,Black Mountain,Black Mountain,1.05,1.22,140,283.9,69.7,26.2,43.5,0.6241033,15,0,Live,85,0,0,40.9,Yes,0,Yes,Yes,3,3,5,132.220993,1856.76001,31.11149979,4,25,NA,5,1.281,Yes,3,69,0,15,Live,Live,Live,25.7,100,2,1 - Healthy/Full,1,No,No,Very High - Torch (>90% mort),1,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,5.5,92,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,375.2000122,724.0200195
BM043,3,Pier,Black Mountain,Black Mountain,9.2,4.5,120,439.3,66.5,11.5,55,0.827067669,45,0,Live,55,0,0,18,Yes,0,Yes,Yes,1,1,1,128.6569977,1846.609985,37.33729935,4,30,NA,50,41.4,NA,NA,66.5,0,45,Live,Live,Live,13.6,100,5,2 - Mild Crown Damage,2,No,No,Very High - Scorch (>90% mort),4,0,Yes,72,68,3,1,23,49,22,46,0,3,1,52,13,0,1,2,3,0,0,3,13,8.6,7.6,1.5,9.1,7.9,1.6,0.32,57.9,57.4,Live,50,50,0,0,0,0,2.9,2.4,NA,NA,Ridge,Dry,1,375.2000122,724.0200195
BM044,3,Pier,Black Mountain,Black Mountain,0,0,110,281.4,45.2,16.6,28.6,0.632743363,2,0,Live,98,0,0,12.5,No,0,Yes,Yes,3,3,2,124.1740036,1824.339966,38.76269913,3,60,NA,0,0,No,0,28.8,0,2,Live,Live,Live,9,100,3,2 - Mild Crown Damage,2,No,No,Moderate (<75% mort),4,3,Yes,101,78,23,0,4,97,4,74,0,23,0,61,15,0,2,0,21,0,0,2,15,14.5,9.5,1.7,15.3,10,1.9,0.04,30.7,29.9,Live,58.75,20,0,1,0,0,2.1,1.3,NA,NA,Ridge,Dry,1,379.4729919,734.9429932
BM045,3,Pier,Black Mountain,Black Mountain,1.36,0.87,178,302.4,79.8,27.6,52.2,0.654135338,77,15,Dead,0,0,0,28,Yes,1,Yes,Yes,1,3,1,131.0789948,1802.939941,30.19879913,3,70,NA,10,1.1832,No,0,79.8,0,92,Live,Live,Dead,19.5,100,4,1 - Healthy/Full,1,No,No,Very High - Scorch (>90% mort),1,0,Yes,36,36,0,0,2,34,2,34,0,0,0,33,3,0,0,0,0,0,0,0,3,15,13.4,3.9,15,13.4,3.9,0.06,64.8,64.8,2020,6.5,93.5,0,0,0,0,12.6,12.6,NA,NA,Ridge,Dry,1,379.4729919,734.9429932
BM046,3,Pier,Black Mountain,Black Mountain,2.06,1.81,178,257.8,68.9,26.4,42.5,0.616835994,100,0,Dead,0,0,0,26.8,Yes,1,Yes,Yes,1,3,1,131.0789948,1802.939941,30.19879913,3,90,NA,25,3.7286,No,0,68.9,0,100,Dead,Dead,Dead,21.5,100,5,1 - Healthy/Full,1,No,No,Very High - Scorch (>90% mort),3,1,Yes,35,35,0,0,2,33,2,33,0,0,0,32,3,0,0,0,0,0,0,0,3,16.2,13.5,4.1,16.2,13.5,4.1,0.06,52.7,52.7,2018,6.5,93.5,0,0,0,0,10.2,10.2,NA,NA,Ridge,Dry,1,379.4729919,734.9429932
BM047,3,Pier,Black Mountain,Black Mountain,2.81,1.61,160,231.1,69.2,19.7,49.5,0.715317919,100,0,Dead,0,0,0,30.4,Yes,1,Yes,Yes,1,3,1,131.7910004,1800.650024,30.44109917,4,40,NA,20,4.5241,No,0,69.2,0,100,Dead,Dead,Dead,21.2,100,1,1 - Healthy/Full,1,No,No,Very High - Scorch (>90% mort),2,2,Yes,27,27,0,0,1,26,1,26,0,0,0,26,1,0,0,0,0,0,0,0,1,21.7,12.2,5,21.7,12.2,5,0.04,47.5,47.5,2018,2.5,97.5,0,0,0,0,-2,-2,NA,NA,Ridge,Dry,1,379.4729919,734.9429932
BM048,3,Pier,Black Mountain,Black Mountain,3.5,3.08,60,278.8,68.9,22.5,46.4,0.673439768,100,0,Dead,0,0,0,26.8,Yes,1,Yes,Yes,1,3,1,131.6620026,1798.27002,30.95400047,4,60,NA,35,10.78,No,0,68.9,0,100,Dead,Dead,Dead,20.9,100,2,1 - Healthy/Full,1,No,No,Very High - Scorch (>90% mort),1,2,Yes,25,25,0,0,1,24,1,24,0,0,0,23,2,0,0,0,0,0,0,0,2,26.4,8.4,3.8,26.4,8.4,3.8,0.04,42.5,42.5,2018,2.5,97.5,0,0,0,0,-3.9,-3.9,NA,NA,Ridge,Dry,1,379.4729919,734.9429932
BM049,3,Pier,Black Mountain,Black Mountain,8.3,4.85,90,488,72.3,39,33.3,0.460580913,95,0,Dead,0,0,5,35.2,Yes,1,Yes,Yes,1,3,1,129.0319977,1801.040039,29.8362999,3,10,NA,60,40.255,No,0,72.3,0,95,Live,Live,Dead,30,100,0.5,1 - Healthy/Full,1,No,No,Very High - Torch (>90% mort),4,1,Yes,54,53,1,0,1,53,1,52,0,1,0,46,7,0,0,0,1,0,0,0,7,19.3,12.7,3.2,19.3,13.2,3.4,0.02,53,53,2020,20,80,0,0,0,0,19.7,19.7,NA,NA,Ridge,Dry,1,377.1270142,737.8029785
BM049a,3,Pier,Black Mountain,Black Mountain,7.3,4.85,90,488,53.7,29.1,24.6,0.458100559,100,0,Dead,0,0,0,32.2,Yes,1,Yes,Yes,1,3,1,128.6069946,1799.079956,30.36359978,3,10,NA,60,35.405,No,NA,53.7,0,100,Dead,Dead,Dead,30,100,0.5,2 - Mild Crown Damage,2,No,Yes,Very High - Torch (>90% mort),3,0,Yes,54,53,1,0,1,53,1,52,0,1,0,46,7,0,0,0,1,0,0,0,7,19.3,12.7,3.2,19.3,13.2,3.4,0.02,53,53,2018,20,80,0,0,0,0,19.7,19.7,NA,NA,Ridge,Dry,1,377.1270142,737.8029785
BM050,3,Pier,Black Mountain,Black Mountain,7.3,4.02,90,331.4,78.5,23.9,54.6,0.695541401,75,0,Live,23,0,2,33.8,Yes,0,Yes,Yes,1,3,1,126.1689987,1801.540039,30.63369942,3,80,NA,45,29.346,No,0,78,0,75,Live,Live,Live,28.3,100,6,1 - Healthy/Full,1,No,No,Very High - Torch (>90% mort),2,0,Yes,54,53,1,0,1,53,1,52,0,1,0,46,7,0,0,0,1,0,0,0,7,19.3,12.7,3.2,19.3,13.2,3.4,0.02,59.2,59.2,Live,20,80,0,0,0,0,4.6,4.6,NA,NA,Ridge,Dry,1,377.1270142,737.8029785
BM051,3,Pier,Black Mountain,Black Mountain,0,0,100,297.6,69,37,32,0.463768116,30,70,Dead,0,0,0,69,No,1,Yes,Yes,1,3,1,124.9540024,1787.27002,24.72089958,4,90,NA,0,0,No,0,69,69,100,Dead,Dead,Dead,69,100,7,2 - Mild Crown Damage,2,No,No,Very High - Torch (>90% mort),0,0,Yes,43,43,0,0,1,42,1,42,0,0,0,35,4,0,4,0,0,0,0,4,4,19,15.2,3.7,19,15.2,3.7,0.02,50,50,2018,5,95,0,0,0,0,18,18,NA,NA,Canyon/Drainage Bottom,Mesic,3,377.1270142,737.8029785
BM052,3,Pier,Black Mountain,Black Mountain,2.8,1.47,90,307.5,64,33,31,0.484375,15,85,Dead,0,0,0,64,Yes,1,Yes,Yes,1,3,1,120.612999,1783.780029,25.2758007,4,85,NA,15,4.116,No,0,64,64,100,Dead,Dead,Dead,64,100,6,1 - Healthy/Full,1,No,No,Very High - Torch (>90% mort),0,1,Yes,39,39,0,0,2,37,2,37,0,0,0,31,6,0,2,0,0,0,0,2,6,19.2,15.9,4.2,19.2,15.9,4.2,0.05,44.8,44.8,2018,0,100,0,0,0,0,13.8,13.8,NA,NA,Canyon/Drainage Bottom,Mesic,3,377.1270142,737.8029785
